district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,18,31.8511,33.6223,0
Dadu,18,31.4542,20.4812,0
Ghotki,18,30.3841,22.8774,0
Hyderabad,18,32.0625,26.6468,0
Jacobabad,18,30.3584,19.5134,0
Jamshoro,18,31.9989,26.5557,0
Kamber,18,31.269,17.9454,0
Karachi Central,18,29.7327,48.7947,0
Karachi East,18,29.7358,51.0429,0
Karachi Kemari,18,29.5397,52.7802,0
Karachi Korangi,18,29.6496,51.8051,0
Karachi Malir,18,29.8893,48.1606,0
Karachi South,18,29.4441,45.5933,0
Karachi West,18,29.6578,50.3329,0
Kashmore,18,29.9786,23.7549,0
Khairpur,18,31.4456,18.4322,0
Larkana,18,31.5411,17.7085,0
Matiari,18,32.1671,22.8616,0
Mirpurkhas,18,32.5961,22.5577,0
Naushero Feroze,18,32.0679,18.5798,0
Sanghar,18,32.1644,22.8234,0
Shaheed Benazirabad,18,32.0329,19.0874,0
Shikarpur,18,30.9894,18.5414,0
Sujawal,18,30.8307,44.6302,0
Sukkur,18,31.0458,19.3428,0.0143
Tando Allahyar,18,32.4122,23.3558,0
Tando Muhammad Khan,18,31.599,32.8457,0
Tharparkar,18,32.4665,26.5694,0
Thatta,18,30.6364,45.4836,0
Umerkot,18,32.2899,23.4513,0
Barkhan,18,24.6586,23.0168,0.1857
Chagai,18,24.9158,19.5596,0.1
Dera Bugti,18,28.0118,19.6498,0
Gwadar,18,27.6905,75.7175,0.0143
Hub,18,29.6561,46.5397,0
JhalMagsi,18,30.7406,18.8717,0
Kachhi (Bolan),18,24.553,21.6081,0
Kalat,18,14.7146,33.089,0.1286
Kharan,18,24.044,29.3924,0
Khuzdar,18,22.3955,24.0769,0.1
Killa Abdullah,18,18.1686,37.2203,0.1286
Killa Saifullah,18,18.6365,32.1941,0.1
Kohlu,18,23.266,24.4235,0.0143
Lasbella,18,28.2981,48.6162,0
Loralai,18,19.7243,29.4057,0.0571
Mastung,18,16.1825,38.7387,0.0857
MusaKhel,18,19.6873,33.3768,0.1
Naseerabad,18,30.9316,17.8842,0
Nushki,18,22.666,22.8601,0.0429
Panjgur,18,24.0115,27.3599,0.0714
Pishin,18,14.7801,52.4128,0.4571
Quetta,18,15.6605,44.8966,0.2571
Sibi,18,26.9879,35.3818,0
Sohbat pur,18,30.7416,18.4581,0
Surab,18,16.316,28.608,0.0571
Usta Muhammad,18,30.3157,18.7582,0
Washuk,18,19.7069,26.8577,0.2571
Zhob,18,18.1581,44.9539,0.2286
Abbottabad,18,16.4167,66.1643,5.6714
Bajaur,18,14.9616,60.9705,3.3429
Bannu,18,21.8017,56.8,0.3714
Battagram,18,16.4966,62.6087,6.1
Buner,18,19.2663,61.0173,1.1571
Charsadda,18,20.9272,62.1864,1.8143
Chitral Lower,18,11.1205,55.5206,0.7429
Chitral Upper,18,11.1205,55.5206,0.7429
D.I. Khan,18,24.2942,51.4615,0.2143
Dir Lower,18,21.6033,57.1949,0.5429
Dir Upper,18,13.5143,56.3251,2.3
Hangu,18,18.1905,60.2874,3.7143
Haripur,18,19.5193,66.8085,5.0143
Karak,18,20.5563,58.1158,1.0286
Khyber,18,18.693,59.8357,1.6143
Kohat,18,21.1814,50.6283,0.4143
Kohistan Lower,18,-4.7813,84.3388,0.0143
Kohistan Upper,18,-4.7813,84.3388,0.0143
Kolai Palas,18,-4.7813,84.3388,0.0143
L & C Kurram,18,8.1137,73.7402,3.3571
Lakki Marwat,18,21.8016,59.927,0.5714
Malakand,18,19.3385,58.3993,2.8571
Mansehra,18,16.3264,64.9609,3.6857
Mardan,18,20.3928,66.4978,0.9429
Mohmand,18,19.3385,58.3993,2.8571
North Waziristan,18,4.355,76.0029,3.1143
Nowshera,18,21.6618,57.2083,0.5429
Orakzai,18,16.7284,62.5117,3.7714
Peshawar,18,20.6427,61.2249,1.0429
SD Tank,18,22.7371,55.3965,1.4429
Shangla,18,11.4723,57.3658,4.1571
South Waziristan (Lower),18,18.5935,55.982,1.5429
SWU,18,18.5935,55.982,1.5429
Swabi,18,20.2131,66.7033,0.9429
Swat,18,17.0662,64.9418,1.6714
Tank,18,22.7371,55.3965,1.4429
Tor Ghar,18,20.0987,66.1031,4.7714
Upper Kurram,18,8.1137,73.7402,3.3571
