year,district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
2025,Badin,24,33.0904,59.3816,0.0714
2025,Dadu,24,37.7134,36.7261,0.0143
2025,Ghotki,24,37.9457,30.3118,0.0429
2025,Hyderabad,24,33.2095,59.1673,0.5286
2025,Jacobabad,24,38.9015,24.5588,0
2025,Jamshoro,24,33.2921,58.8935,0.1714
2025,Kamber,24,38.9571,29.1802,0
2025,Karachi Central,24,30.9615,70.285,0.0143
2025,Karachi East,24,30.553,73.7986,0.1
2025,Karachi Kemari,24,30.379,75.2982,0
2025,Karachi (General),24,30.3725,75.2972,0
2025,Korangi,24,30.5162,74.2492,0.0286
2025,Karachi Malir,24,31.116,70.017,0
2025,Karachi South,24,30.6351,71.6352,0.3286
2025,Karachi West,24,30.8037,72.4493,0
2025,Kashmore,24,37.9828,29.472,0.0714
2025,Khairpur,24,38.1328,32.64,0.0714
2025,Larkana,24,38.8312,30.2079,0.1857
2025,Matiari,24,34.257,53.9978,0.2286
2025,Mirpurkhas,24,34.5116,52.6566,0.2
2025,Naushero Feroze,24,37.3828,37.2565,0
2025,Sanghar,24,33.951,55.2014,0
2025,Shaheed Benazirabad,24,36.3454,42.7546,0.0286
2025,Shikarpur,24,38.9141,27.5178,0.0143
2025,Sujawal,24,31.953,66.0131,0
2025,Sukkur,24,37.9934,32.3361,0.2857
2025,Tando Allahyar,24,34.0078,55.1099,0.4143
2025,Tando Muhammad Khan,24,33.1999,59.3457,0.1714
2025,Tharparkar,24,33.2278,58.0664,0.0143
2025,Thatta,24,31.8215,66.3763,0.0857
2025,Umerkot,24,34.8542,49.7355,0.5857
2025,Barkhan,24,34.0452,15.5845,0
2025,Chagai,24,33.8083,12.6447,0
2025,Dera Bugti,24,36.2966,20.8148,0
2025,Gwadar,24,29.5357,80.5902,0
2025,Hub,24,31.0046,69.3833,0
2025,JhalMagsi,24,39.3022,16.6399,0
2025,Kachhi (Bolan),24,35.0542,12.1023,0
2025,Kalat,24,24.2681,19.4283,0
2025,Kharan,24,35.1223,11.7656,0
2025,Khuzdar,24,31.3279,18.0865,0
2025,Killa Abdullah,24,29.4403,13.0462,0
2025,Killa Saifullah,24,29.01,15.144,0
2025,Kohlu,24,32.6675,17.2835,0
2025,Lasbella,24,30.0148,73.6002,0.0857
2025,Loralai,24,30.4139,14.5833,0
2025,Mastung,24,26.5322,17.8108,0
2025,MusaKhel,24,30.4549,18.1382,0
2025,Naseerabad,24,39.1373,26.0098,0
2025,Nushki,24,32.244,13.3251,0
2025,Panjgur,24,32.6266,16.7502,0
2025,Pishin,24,27.2605,15.7285,0
2025,Quetta,24,26.8739,17.1737,0
2025,Sibi,24,38.1292,14.781,0
2025,Sohbat pur,24,38.9523,26.0685,0
2025,Surab,24,25.8607,17.7568,0
2025,Usta Muhammad,24,38.9445,24.2606,0.2571
2025,Washuk,24,28.2732,15.9811,0
2025,Zhob,24,30.1613,18.6339,0
2025,Abbottabad,24,29.2372,31.7676,0.0286
2025,Bajaur,24,28.6699,26.3493,0.0143
2025,Bannu,24,36.8517,19.1324,0
2025,Battagram,24,26.9204,42.9411,0.0429
2025,Buner,24,30.0127,40.3518,0
2025,Charsadda,24,33.5832,35.2684,0
2025,Chitral Lower,24,22.4896,49.4155,1.4857
2025,Chitral Upper,24,22.4896,49.4155,1.4857
2025,D.I. Khan,24,36.8014,26.9258,0
2025,Dir Lower,24,34.8953,30.5395,0
2025,Dir Upper,24,24.1259,43.1721,0.5
2025,Hangu,24,33.1175,22.0956,0.0286
2025,Haripur,24,32.5083,33.2712,0
2025,Karak,24,35.8691,19.5139,0
2025,Khyber,24,33.3778,22.2699,0.0143
2025,Kohat,24,35.8349,21.1729,0
2025,Kohistan Lower,24,6.2437,64.75,1.5571
2025,Kohistan Upper,24,6.2437,64.75,1.5571
2025,Kolai Palas,24,6.2437,64.75,1.5571
2025,L & C Kurram,24,21.3065,33.7844,1.9143
2025,Lakki Marwat,24,35.3611,25.9977,0
2025,Malakand,24,32.9492,26.1285,0
2025,Mansehra,24,28.2591,36.0842,0.0143
2025,Mardan,24,32.1487,40.4302,0
2025,Mohmand,24,32.9492,26.1285,0
2025,North Waziristan,24,16.7273,43.5698,4.3857
2025,Nowshera,24,34.9537,30.5547,0
2025,Orakzai,24,31.607,22.8646,0.5714
2025,Peshawar,24,36.5969,23.5444,0
2025,SD Tank,24,36.4672,20.8032,0
2025,Shangla,24,22.1113,38.8886,2.1
2025,South Waziristan (Lower),24,32.4024,18.2092,0.0429
2025,SWU,24,32.4024,18.2092,0.0429
2025,Swabi,24,30.622,47.8622,0
2025,Swat,24,28.9004,36.2397,0
2025,Tank,24,36.4672,20.8032,0
2025,Tor Ghar,24,32.2025,38.9777,0
2025,Upper Kurram,24,21.3065,33.7844,1.9143
