Year,District,week_index,avg_rainfall,Avg_Temperature,Avg_Humidity,Population,People_Displaced,Fatalities,Days_Since_Flood_Start,Waterbody_Proximity,Malaria_cases,AD_cases,Typhoid_cases
2026,Badin,1,,,,1947081,,,,,1948,1745,151
2026,Dadu,1,,,,1742320,,,,,3573,1984,324
2026,Ghotki,1,,,,1772609,,,,,2270,692,72
2026,Hyderabad,1,,,,2432540,,,,,432,2029,92
2026,Jacobabad,1,,,,1174097,,,,,786,502,66
2026,Jamshoro,1,,,,1117308,,,,,1662,1198,62
2026,Kamber,1,,,,1514869,,,,,1822,1282,90
2026,Karachi Central,1,,,,3822325,,,,,13,1522,0
2026,Karachi East,1,,,,3950031,,,,,34,211,1
2026,Karachi Keamari,1,,,,2068451,,,,,2,501,0
2026,Karachi Korangi,1,,,,3128971,,,,,100,373,9
2026,Karachi Malir,1,,,,2403959,,,,,28,499,17
2026,Karachi South,1,,,,2329764,,,,,15,71,0
2026,Karachi West,1,,,,2679380,,,,,344,760,18
2026,Kashmore,1,,,,1233957,,,,,2002,238,33
2026,Khairpur,1,,,,2597535,,,,,3798,2510,227
2026,Larkana,1,,,,1784453,,,,,2944,1156,206
2026,Matiari,1,,,,849383,,,,,2003,1061,42
2026,Mirpurkhas,1,,,,1681386,,,,,1530,2246,138
2026,Naushero Feroze,1,,,,1777082,,,,,1096,1211,241
2026,Sanghar,1,,,,2308465,,,,,3300,1413,70
2026,Shaheed Benazirabad,1,,,,1845102,,,,,1846,1157,73
2026,Shikarpur,1,,,,1386330,,,,,1994,755,124
2026,Sujawal,1,,,,839292,,,,,563,959,92
2026,Sukkur,1,,,,1639897,,,,,1500,797,101
2026,Tando Allahyar,1,,,,922012,,,,,1089,693,81
2026,Tando Muhammad Khan,1,,,,726119,,,,,405,727,89
2026,Tharparkar,1,,,,1778407,,,,,1696,2038,108
2026,Thatta,1,,,,1083191,,,,,957,1151,11
2026,Umerkot,1,,,,1159831,,,,,1586,1290,69
2026,Awaran,1,,,,178958,,,,,NR,NR,NR
2026,Barkhan,1,,,,210249,,,,,17,57,15
2026,Chagai,1,,,,269192,,,,,12,69,8
2026,Chaman,1,,,,466218,,,,,1,65,38
2026,Dera Bugti,1,,,,355274,,,,,1,14,6
2026,Duki,1,,,,205044,,,,,NR,NR,NR
2026,Gwadar,1,,,,305160,,,,,12,14,2
2026,Harnai,1,,,,127571,,,,,53,145,0
2026,Hub,1,,,,382885,,,,,75,132,0
2026,Jaffarabad,1,,,,594558,,,,,187,150,4
2026,Jhal Magsi,1,,,,203368,,,,,178,120,8
2026,Kachhi (Bolan),1,,,,,,,,,408,268,0
2026,Kalat,1,,,,271560,,,,,0,0,0
2026,Kech (Turbat),1,,,,1060931,,,,,26,83,NR
2026,Kharan,1,,,,260352,,,,,9,134,4
2026,Khuzdar,1,,,,997214,,,,,11,16,7
2026,Killa Abdullah,1,,,,361971,,,,,2,113,3
2026,Killa Saifullah,1,,,,380200,,,,,NR,NR,NR
2026,Kohlu,1,,,,260220,,,,,12,12,5
2026,Lasbella,1,,,,680977,,,,,209,305,4
2026,Loralai,1,,,,272432,,,,,8,192,17
2026,Mastung,1,,,,313271,,,,,26,130,3
2026,MusaKhel,1,,,,196756,,,,,48,70,6
2026,Naseerabad,1,,,,563315,,,,,191,269,34
2026,Nushki,1,,,,207834,,,,,NR,NR,NR
2026,Panjgur,1,,,,509781,,,,,NR,NR,NR
2026,Pishin,1,,,,835482,,,,,8,193,20
2026,Quetta,1,,,,2595492,,,,,7,199,15
2026,Sherani,1,,,,191687,,,,,NR,NR,NR
2026,Sibi,1,,,,224148,,,,,240,340,24
2026,Sohbat pur,1,,,,240106,,,,,45,198,8
2026,Surab,1,,,,279038,,,,,0,16,0
2026,Usta Muhammad,1,,,,,,,,,100,464,1
2026,Washuk,1,,,,302623,,,,,NR,NR,NR
2026,Zhob,1,,,,355692,,,,,0,20,5
2026,Ziarat,1,,,,189535,,,,,29,37,5
2026,Abbottabad,1,,,,1419072,,,,,0,557,19
2026,Bajaur,1,,,,,,,,,76,410,1
2026,Bannu,1,,,,1357890,,,,,795,506,83
2026,Battagram,1,,,,335984,,,,,27,201,3
2026,Buner,1,,,,,,,,,149,128,5
2026,Charsadda,1,,,,1835504,,,,,190,1231,57
2026,Chitral Lower,1,,,,,,,,,9,259,5
2026,Chitral Upper,1,,,,195528,,,,,5,90,7
2026,D.I. Khan,1,,,,1829811,,,,,164,1356,2
2026,Dir Lower,1,,,,,,,,,65,792,18
2026,Dir Upper,1,,,,,,,,,11,635,8
2026,Hangu,1,,,,528902,,,,,64,190,3
2026,Haripur,1,,,,1174783,,,,,0,740,45
2026,Karak,1,,,,815878,,,,,55,239,3
2026,Khyber,1,,,,1146267,,,,,91,305,55
