year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,malaria_cases,ad_cases,typhoid_cases
2026,Badin,6,,,,2182111,1536,1781,38
2026,Dadu,6,,,,1873835,3244,1952,137
2026,Ghotki,6,,,,1989892,1348,659,0
2026,Hyderabad,6,,,,2659637,496,1824,3
2026,Jacobabad,6,,,,1216179,747,447,19
2026,Jamshoro,6,,,,1200463,1228,1152,39
2026,Kamber,6,,,,1621170,2211,1237,20
2026,Karachi Central,6,,,,3591719,8,1119,47
2026,Karachi East,6,,,,3514347,28,273,1
2026,Karachi Keamari,6,,,,2215961,5,542,0
2026,Karachi Korangi,6,,,,2970331,37,238,1
2026,Karachi Malir,6,,,,2428732,74,996,7
2026,Karachi South,6,,,,2166395,8,62,0
2026,Karachi West,6,,,,4732945,372,773,22
2026,Kashmore,6,,,,1316520,1615,184,1
2026,Khairpur,6,,,,2908676,3226,2265,113
2026,Larkana,6,,,,1842403,2746,1127,7
2026,Matiari,6,,,,930873,1456,955,0
2026,Mirpurkhas,6,,,,1820642,885,1636,7
2026,Naushero Feroze,6,,,,1948788,873,906,25
2026,Sanghar,6,,,,2486760,2850,1302,19
2026,Shaheed Benazirabad,6,,,,1949997,1577,1063,70
2026,Shikarpur,6,,,,1488188,1335,738,5
2026,Sujawal,6,,,,839292,652,1556,14
2026,Sukkur,6,,,,1798882,1043,812,3
2026,Tando Allahyar,6,,,,1011871,737,672,4
2026,Tando Muhammad Khan,6,,,,818443,282,593,0
2026,Tharparkar,6,,,,1994728,1262,1368,6
2026,Thatta,6,,,,1184747,506,1300,10
2026,Umerkot,6,,,,1297177,1170,1151,7
2026,Awaran,6,,,,178958,NR,NR,NR
2026,Barkhan,6,,,,210249,17,77,10
2026,Chagai,6,,,,269192,15,49,3
2026,Chaman,6,,,,466218,NR,NR,NR
2026,Dera Bugti,6,,,,355274,10,20,4
2026,Duki,6,,,,205044,NR,NR,NR
2026,Gwadar,6,,,,305160,65,261,14
2026,Harnai,6,,,,127571,39,182,0
2026,Hub,6,,,,382885,26,54,0
2026,Jaffarabad,6,,,,594558,74,70,11
2026,Jhal Magsi,6,,,,203368,79,67,0
2026,Kachhi (Bolan),6,,,,442674,252,165,0
2026,Kalat,6,,,,271560,0,5,0
2026,Kech (Turbat),6,,,,1060931,192,201,6
2026,Kharan,6,,,,260352,5,108,4
2026,Khuzdar,6,,,,997214,62,97,19
2026,Killa Abdullah,6,,,,361971,0,74,5
2026,Killa Saifullah,6,,,,380200,NR,NR,NR
2026,Kohlu,6,,,,260220,8,16,9
2026,Lasbella,6,,,,680977,188,273,4
2026,Loralai,6,,,,272432,9,156,22
2026,Mastung,6,,,,313271,10,131,0
2026,MusaKhel,6,,,,196756,NR,NR,NR
2026,Naseerabad,6,,,,563315,128,253,40
2026,Nushki,6,,,,207834,0,51,0
2026,Panjgur,6,,,,509781,NR,NR,NR
2026,Pishin,6,,,,835482,NR,NR,NR
2026,Quetta,6,,,,2595492,0,224,1
2026,Sherani,6,,,,191687,NR,NR,NR
2026,Sibi,6,,,,224148,212,313,37
2026,Sohbat pur,6,,,,240106,NR,NR,NR
2026,Surab,6,,,,279038,0,6,0
2026,Usta Muhammad,6,,,,300000,87,951,1
2026,Washuk,6,,,,302623,NR,NR,NR
2026,Zhob,6,,,,355692,0,23,0
2026,Ziarat,6,,,,189535,13,81,14
2026,Abbottabad,6,,,,1611498,0,484,28
2026,Bajaur,6,,,,1321356,77,513,72
2026,Bannu,6,,,,1410816,852,513,0
2026,Battagram,6,,,,575449,3,229,2
2026,Buner,6,,,,1084406,73,107,NR
2026,Charsadda,6,,,,1953624,113,832,0
2026,Chitral Lower,6,,,,336081,5,245,11
2026,Chitral Upper,6,,,,204308,0,53,3
2026,D.I. Khan,6,,,,2050338,84,1186,0
2026,Dir Lower,6,,,,1734809,41,907,0
2026,Dir Upper,6,,,,1143644,6,538,0
2026,Hangu,6,,,,627433,44,189,0
2026,Haripur,6,,,,1212553,0,709,0
2026,Karak,6,,,,853502,60,17,0
2026,Khyber,6,,,,1193210,52,184,3
2026,Kohat,6,,,,1200463,9,0,0
2026,Kohistan Lower,6,,,,244203,0,61,0
2026,Kohistan Upper,6,,,,369931,1,182,0
2026,Kolai Palas,6,,,,331246,0,59,0
2026,L & C Kurram,6,,,,604463,8,32,1
2026,Lakki Marwat,6,,,,1059019,111,291,0
2026,Malakand,6,,,,870427,12,437,48
2026,Mansehra,6,,,,1881089,0,519,0
2026,Mardan,6,,,,2868781,22,737,2
2026,Mohmand,6,,,,563359,48,54,128
2026,North Waziristan,6,,,,656447,39,16,63
2026,Nowshera,6,,,,1835149,68,797,18
2026,Orakzai,6,,,,307067,0,53,0
2026,Peshawar,6,,,,5160904,6,2674,0
2026,Shangla,6,,,,915157,95,512,0
2026,South Waziristan (Lower),6,,,,820861,12,30,19
2026,SWU,6,,,,488438,11,20,21
2026,Swabi,6,,,,1963296,44,720,65
2026,Swat,6,,,,2791410,20,1806,0
2026,Tank,6,,,,472690,62,359,0
2026,Tor Ghar,6,,,,206726,26,75,0
2026,Upper Kurram,6,,,,785434,13,124,25
