year,district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
2026,Badin,1,18.7557,61.3992,0.0714
2026,Dadu,1,15.5813,74.4181,0.1714
2026,Ghotki,1,15.3705,71.4446,0.5286
2026,Hyderabad,1,17.8643,65.8069,0.8571
2026,Jacobabad,1,15.4396,68.2081,0.4
2026,Jamshoro,1,17.6485,64.4009,1.1286
2026,Kamber,1,15.8833,68.2155,0.0143
2026,Karachi Central,1,19.7455,58.8449,0.1
2026,Karachi East,1,18.9616,62.2786,0.2429
2026,Karachi Kemari,1,19.9012,60.4175,0.2
2026,Karachi Korangi,1,19.7997,60.1836,0.1143
2026,Karachi Malir,1,18.9616,62.2786,0.2429
2026,Karachi South,1,17.808,63.7113,0.5857
2026,Karachi West,1,19.4411,61.7655,0.2286
2026,Kashmore,1,15.2586,70.3573,1.3286
2026,Khairpur,1,16.0128,66.4719,0.2714
2026,Larkana,1,16.2655,65.6913,1.8143
2026,Matiari,1,17.1488,66.8595,0.4857
2026,Mirpurkhas,1,16.6732,72.011,0.6286
2026,Naushero Feroze,1,15.8357,70.734,0.0714
2026,Sanghar,1,15.8381,76.9993,0.0429
2026,Shaheed Benazirabad,1,15.5247,75.0017,0.0857
2026,Shikarpur,1,16.1756,64.0064,1.4
2026,Sujawal,1,18.7387,62.1748,0.1429
2026,Sukkur,1,15.5708,71.8011,0.2143
2026,Tando Allahyar,1,17.2735,67.6707,2.8143
2026,Tando Muhammad Khan,1,17.8527,65.1583,0.1857
2026,Tharparkar,1,17.8036,63.5787,0.5429
2026,Thatta,1,18.506,65.234,0.1857
2026,Umerkot,1,17.2923,67.0692,0.2429
2026,Barkhan,1,10.4018,63.1186,0.8714
2026,Chagai,1,10.789,55.3666,2.4429
2026,Dera Bugti,1,13.3933,68.845,0.7857
2026,Gwadar,1,19.9728,53.2582,0.6429
2026,Hub,1,17.7762,65.8083,0.1286
2026,JhalMagsi,1,15.1464,68.4058,1.3714
2026,Kachhi (Bolan),1,11.7784,50.9149,0.7286
2026,Kalat,1,5.0438,49.9024,1.0286
2026,Kharan,1,11.4699,61.7308,1.9429
2026,Khuzdar,1,10.8621,48.9822,0.9571
2026,Killa Abdullah,1,7.7623,59.9486,3.9286
2026,Killa Saifullah,1,6.4879,56.1886,0.5571
2026,Kohlu,1,9.6269,61.4858,1.1571
2026,Lasbella,1,18.2244,65.1918,0.1429
2026,Loralai,1,6.439,58.7588,1.0714
2026,Mastung,1,4.8086,61.3539,2.1286
2026,MusaKhel,1,7.3259,56.308,0.8714
2026,Naseerabad,1,15.8107,67.0846,0.2143
2026,Nushki,1,9.9735,60.1662,1.7
2026,Panjgur,1,11.3006,52.0391,0.2857
2026,Pishin,1,5.5065,65.0532,3.0857
2026,Quetta,1,5.8013,60.3593,2.2286
2026,Sibi,1,13.8866,65.3204,0.3571
2026,Sohbat pur,1,15.6292,67.3762,0.3714
2026,Surab,1,5.7583,50.859,1.0286
2026,Usta Muhammad,1,15.0932,72.7198,0.7429
2026,Washuk,1,8.7601,53.26,0.1
2026,Zhob,1,6.4786,57.3394,0.8429
2026,Abbottabad,1,8.7238,68.2289,2.7143
2026,Bajaur,1,7.3565,60.0284,3.4429
2026,Bannu,1,11.2985,69.4306,0.5429
2026,Battagram,1,6.0708,70.0299,5.3429
2026,Buner,1,10.1539,71.0074,1.7286
2026,Charsadda,1,10.4744,78.922,1.4143
2026,Chitral Lower,1,2.2897,64.4171,0.0571
2026,Chitral Upper,1,2.2897,64.4171,0.0571
2026,D.I. Khan,1,11.8848,82.4062,0.2143
2026,Dir Lower,1,11.3104,68.9031,1.5857
2026,Dir Upper,1,2.9262,76.2974,2.9286
2026,Hangu,1,8.5982,65.2908,1.8
2026,Haripur,1,9.7435,77.5522,2.0571
2026,Karak,1,10.9363,68.8316,0.8571
2026,Khyber,1,9.6854,65.4393,1.4429
2026,Kohat,1,11.314,63.9466,1.0571
2026,Kohistan Lower,1,-13.3266,84.9624,0.0143
2026,Kohistan Upper,1,-13.3266,84.9624,0.0143
2026,Kolai Palas,1,-13.3266,84.9624,0.0143
2026,L & C Kurram,1,-0.1065,72.814,1.3
2026,Lakki Marwat,1,10.5229,79.5388,0.4714
2026,Malakand,1,10.9726,66.9623,1.6429
2026,Mansehra,1,7.6396,70.854,2.9143
2026,Mardan,1,10.2682,82.9053,1.2143
2026,Mohmand,1,10.9726,66.9623,1.6429
2026,North Waziristan,1,-4.0325,73.0829,0.1
2026,Nowshera,1,10.603,76.0262,1.4429
2026,Orakzai,1,7.5045,66.18,1.2143
2026,Peshawar,1,10.8798,79.6094,0.9857
2026,SD Tank,1,11.3247,70.7607,0.4571
2026,Shangla,1,1.7786,63.7653,1.1429
2026,South Waziristan (Lower),1,7.4711,58.5456,1.2571
2026,SWU,1,7.4711,58.5456,1.2571
2026,Swabi,1,10.0833,84.1807,2.2
2026,Swat,1,9.1062,66.9472,2.1571
2026,Tank,1,11.3247,70.7607,0.4571
2026,Tor Ghar,1,10.4975,77.6614,2.0571
2026,Upper Kurram,1,-0.1065,72.814,1.3
2026,Badin,2,15.8113,49.3167,0
2026,Dadu,2,13.4003,73.7526,0
2026,Ghotki,2,12.8527,76.9932,0
2026,Hyderabad,2,15.2211,58.7476,0
2026,Jacobabad,2,12.8878,72.5646,0
