Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m_y,River_Status_y,Area_sq_km_y,Sanitation_Index_y,Malaria_cases,AD_cases,Typhoid_cases
2024,Badin,18,0,31.8511,33.6223,2182111,9,1,6726,0.35,3483,3076,73
2024,Dadu,18,0,31.4542,20.4812,1873835,40,2,19070,0.35,3469,3383,179
2024,Ghotki,18,0,30.3841,22.8774,1989892,72,1,6083,0.35,793,1073,180
2024,Hyderabad,18,0,32.0625,26.6468,2659637,20,2,993,0.75,171,953,0
2024,Jacobabad,18,0,30.3584,19.5134,1216179,55,0,2686,0.35,670,766,118
2024,Jamshoro,18,0,31.9989,26.5557,1200463,33,2,11204,0.35,1902,2728,47
2024,Kamber,18,0,31.269,17.9454,1621170,50,0,5599,0.2,3249,1659,149
2024,Central,18,0,29.7327,48.7947,3591719,10,0,69,0.95,89,1187,2
2024,East,18,0,29.7358,51.0429,3514347,10,0,165,0.95,54,496,7
2024,Keamari,18,0,29.5397,52.7802,2215961,2,0,559,0.2,2,165,0
2024,Korangi,18,0,29.6496,51.8051,2970331,8,0,95,0.2,37,208,0
2024,Malir,18,0,29.8893,48.1606,2428732,20,0,2268,0.75,178,1687,49
2024,South,18,0,29.4441,45.5933,2166395,4,0,122,0.95,41,94,0
2024,West,18,0,29.6578,50.3329,4732945,15,0,929,0.75,141,1132,96
2024,Kashmore,18,0,29.9786,23.7549,1316520,60,2,2592,0.35,1318,597,183
2024,Khairpur,18,0,31.4456,18.4322,2908676,53,2,15910,0.5,4432,3848,124
2024,Larkana,18,0,31.5411,17.7085,1842403,48,2,1906,0.5,5782,2203,0
2024,Matiari,18,0,32.1671,22.8616,930873,25,2,1417,0.2,1574,2329,40
2024,Mirpurkhas,18,0,32.5961,22.5577,1820642,16,0,2925,0.5,2482,2459,54
2024,Naushero Feroze,18,0,32.0679,18.5798,1948788,38,2,2945,0.2,830,576,99
2024,Sanghar,18,0,32.1644,22.8234,2486760,16,1,10608,0.2,3481,1360,89
2024,Shaheed Benazirabad,18,0,32.0329,19.0874,1949997,30,2,4502,0.5,1784,2188,230
2024,Shikarpur,18,0,30.9894,18.5414,1488188,52,1,2512,0.35,1944,1186,50
2024,Sujawal,18,0,30.8307,44.6302,945380,,,,,1429,767,40
2024,Sukkur,18,0.0143,31.0458,19.3428,1798882,65,2,5165,0.75,1743,1500,39
2024,Tando Allahyar,18,0,32.4122,23.3558,1011871,18,0,2343,0.2,1379,1534,32
2024,Tando Muhammad Khan,18,0,31.599,32.8457,818443,14,2,1733,0.2,1728,1274,0
2024,Tharparkar,18,0,32.4665,26.5694,1994728,56,0,19638,0.35,2031,1352,8
2024,Thatta,18,0,30.6364,45.4836,1184747,10,2,17355,0.35,1769,1521,84
2024,Umerkot,18,0,32.2899,23.4513,1297177,12,0,5608,0.35,1977,1434,0
2024,Awaran,18,,,,0,500,0,29510,0.2,88,17,0
2024,Barkhan,18,0.1857,24.6586,23.0168,206726,1100,0,3514,0.2,64,100,0
2024,Chagai,18,0.1,24.9158,19.5596,273217,919,0,44748,0.2,49,139,0
2024,Chaman,18,,,,0,1340,0,1341,0.2,1,23,0
2024,Dera Bugti,18,0,28.0118,19.6498,378394,250,0,10160,0.2,139,65,0
