iter	RMSE
0	0.3509563258
1	0.3481976054
2	0.3451973617
3	0.3425178441
4	0.3401128133
5	0.3377405143
6	0.3353809094
7	0.3330948646
8	0.3309413344
9	0.3292451354
10	0.3273105756
11	0.325428641
12	0.3235385917
13	0.3218416174
14	0.3201459097
15	0.318465382
16	0.3167003235
17	0.3152858646
18	0.3138767455
19	0.3124294283
20	0.3109842295
21	0.3095009947
22	0.3080994388
23	0.3068017618
24	0.3055285115
25	0.3043431029
26	0.3031334496
27	0.3020150284
28	0.3009921206
29	0.3001490814
30	0.299070774
31	0.297978384
32	0.2970264927
33	0.2961214585
34	0.2952187399
35	0.2944777972
36	0.2936364432
37	0.2927237775
38	0.292049941
39	0.2913895068
40	0.2906896036
41	0.2900130182
42	0.2891443862
43	0.2884133032
44	0.2877672664
45	0.2873059991
46	0.2866267144
47	0.2860072329
48	0.2853435255
49	0.2847564125
50	0.2842280332
51	0.2837846344
52	0.2832033025
53	0.2825342877
54	0.282039755
55	0.2816113941
56	0.2810226569
57	0.2805434873
58	0.28017251
59	0.2797662384
60	0.2793814966
61	0.278964921
62	0.2785304482
63	0.2780048875
64	0.2776467924
65	0.2774463101
66	0.2768900439
67	0.2765255469
68	0.2761908625
69	0.275919126
70	0.275594708
71	0.2752800471
72	0.2748718994
73	0.27458244
74	0.2744245638
75	0.2739838978
76	0.2736636771
77	0.2733105275
78	0.2730462563
79	0.2726863872
80	0.2722613082
81	0.2718609193
82	0.2715768648
83	0.2714111507
84	0.2710662303
85	0.2705410778
86	0.2703135811
87	0.2701720712
88	0.2699047823
89	0.2696244859
90	0.269463298
91	0.2692288603
92	0.2688699845
93	0.2685109389
94	0.2683085619
95	0.2680599415
96	0.2679632008
97	0.267674652
98	0.2674350479
99	0.2672161532
100	0.2670849537
101	0.2669300758
102	0.2666835656
103	0.2664511064
104	0.2663441417
105	0.2660677546
106	0.2657467834
107	0.2655299501
108	0.2653618089
109	0.2651811076
110	0.2650890389
111	0.2648746612
112	0.2647134328
113	0.2643907088
114	0.2641267832
115	0.264018539
116	0.2638796749
117	0.2636641023
118	0.2635433402
119	0.2633366803
120	0.2632562461
121	0.2631622089
122	0.2629961617
123	0.2627491822
124	0.2625599957
125	0.2624002297
126	0.2622584281
127	0.2620815973
128	0.2619507483
129	0.26180203
130	0.2615408965
131	0.2613309844
132	0.2611371745
133	0.260885228
134	0.260753668
135	0.2605267229
136	0.2602879556
137	0.2601291529
138	0.2600507964
139	0.2598419488
140	0.2596928024
141	0.2595529742
142	0.2594245076
143	0.2592311471
144	0.259173219
145	0.2589715953
146	0.258624221
147	0.2585511835
148	0.2584271356
149	0.2583193888
150	0.2581759613
151	0.2580882508
152	0.2579318912
153	0.2577875241
154	0.2577081389
155	0.2576120142
156	0.2575093583
157	0.2573510344
158	0.2570964927
159	0.2569955039
160	0.2569047636
161	0.2567449992
162	0.2566499421
163	0.2564177137
164	0.2562944337
165	0.2561128084
166	0.2559781528
167	0.2558265706
168	0.2555785165
169	0.2554041572
170	0.255187488
171	0.2550898458
172	0.2547843271
173	0.2546384086
174	0.2544637834
175	0.2542416005
176	0.2540647945
177	0.2538600934
178	0.2536336577
179	0.2535091325
180	0.2534180074
181	0.2532203225
182	0.2529999105
183	0.2528076694
184	0.252679237
185	0.2525745442
186	0.2523109536
187	0.2521254963
188	0.2519651992
189	0.2518566376
190	0.2517255538
191	0.2515106836
192	0.2514005264
193	0.25122957
194	0.2511492862
195	0.2510439845
196	0.2509772854
197	0.250926508
198	0.2506873405
199	0.25060523
200	0.2505038322
201	0.2504420867
202	0.2503129742
203	0.2501821798
204	0.2500518442
205	0.2498903804
206	0.2497173173
207	0.2495553467
208	0.2494156726
209	0.2493226843
210	0.2491736701
211	0.2491000353
212	0.2489599162
213	0.2489361627
214	0.248831296
215	0.2487516612
216	0.2485735718
217	0.2485035655
218	0.2484217713
219	0.2482897803
220	0.2481533465
221	0.247871758
222	0.2477138919
223	0.2475561261
224	0.2474190498
225	0.2473397785
226	0.2472035965
227	0.2470648557
228	0.2468454496
229	0.2467761382
230	0.246549995
231	0.2464008644
232	0.246187508
233	0.246069439
234	0.2459989401
235	0.245848838
