iter	Passed	Remaining
0	35	53940
1	80	60355
2	116	58022
3	151	56484
4	190	57030
5	231	57567
6	271	57899
7	311	58081
8	354	58700
9	395	58917
10	436	59020
11	482	59856
12	523	59920
13	563	59851
14	605	59964
15	646	59965
16	687	60012
17	731	60193
18	772	60204
19	812	60132
20	853	60107
21	892	59943
22	933	59949
23	976	60031
24	1016	59967
25	1056	59876
26	1096	59802
27	1135	59686
28	1179	59818
29	1221	59848
30	1261	59796
31	1302	59742
32	1342	59688
33	1384	59708
34	1426	59721
35	1470	59792
36	1509	59698
37	1549	59632
38	1589	59544
39	1630	59498
40	1669	59419
41	1711	59408
42	1754	59436
43	1794	59369
44	1835	59363
45	1877	59350
46	1918	59321
47	1960	59291
48	2001	59276
49	2056	59628
50	2098	59621
51	2138	59550
52	2178	59475
53	2219	59442
54	2263	59469
55	2305	59449
56	2346	59408
57	2388	59387
58	2429	59337
59	2470	59300
60	2511	59245
61	2551	59188
62	2592	59135
63	2633	59093
64	2674	59048
65	2718	59055
66	2761	59065
67	2802	59024
68	2847	59059
69	2892	59099
70	2934	59054
71	2976	59041
72	3019	59027
73	3059	58954
74	3101	58934
75	3145	58934
76	3184	58857
77	3226	58820
78	3267	58766
79	3308	58731
80	3351	58709
81	3393	58685
82	3433	58614
83	3473	58561
84	3515	58515
85	3556	58472
86	3597	58431
87	3639	58391
88	3679	58340
89	3720	58288
90	3763	58277
91	3804	58220
92	3844	58158
93	3886	58127
94	3930	58135
95	3970	58067
96	4010	58007
97	4051	57955
98	4091	57904
99	4134	57884
100	4178	57873
101	4222	57872
102	4263	57826
103	4304	57782
104	4346	57740
105	4386	57685
106	4426	57624
107	4467	57579
108	4508	57530
109	4550	57500
110	4590	57449
111	4632	57414
112	4673	57369
113	4715	57334
114	4755	57277
115	4797	57236
116	4837	57184
117	4880	57163
118	4922	57129
119	4962	57074
120	5007	57070
121	5047	57013
122	5091	57002
123	5133	56961
124	5175	56933
125	5218	56908
126	5260	56873
127	5302	56832
128	5342	56782
129	5384	56745
130	5425	56703
131	5469	56680
132	5509	56631
133	5551	56589
134	5591	56540
135	5632	56495
136	5674	56453
137	5713	56388
138	5753	56338
139	5809	56439
140	5854	56425
141	5895	56377
142	5936	56338
143	5980	56317
144	6022	56274
145	6062	56223
146	6102	56164
147	6144	56129
148	6184	56074
149	6226	56041
150	6267	55994
151	6308	55946
152	6348	55888
153	6388	55837
154	6429	55789
155	6469	55741
156	6512	55709
157	6553	55661
158	6594	55621
159	6635	55574
160	6676	55527
161	6717	55480
162	6758	55437
163	6799	55391
164	6839	55340
165	6880	55293
166	6923	55263
167	6963	55209
168	7002	55148
169	7057	55217
170	7097	55163
171	7139	55122
172	7180	55078
173	7225	55060
174	7267	55025
175	7307	54971
176	7348	54926
177	7387	54865
178	7431	54841
179	7473	54805
180	7517	54778
181	7558	54740
182	7600	54700
183	7640	54648
184	7682	54610
185	7723	54563
186	7765	54522
187	7804	54467
188	7843	54408
189	7882	54347
190	7924	54309
191	7965	54266
192	8006	54223
193	8047	54172
194	8087	54121
195	8127	54070
196	8168	54029
197	8208	53978
198	8251	53944
199	8292	53901
200	8333	53853
201	8377	53830
202	8418	53787
203	8459	53740
204	8502	53711
205	8542	53661
206	8582	53611
207	8623	53565
208	8665	53528
209	8708	53495
210	8749	53451
211	8792	53418
212	8832	53368
213	8873	53324
214	8913	53274
215	8955	53232
216	8995	53182
217	9035	53133
218	9074	53079
219	9114	53028
220	9158	53004
221	9207	53006
222	9248	52961
223	9288	52910
224	9331	52881
225	9371	52830
226	9413	52790
227	9454	52748
228	9501	52733
229	9543	52695
230	9583	52646
231	9624	52604
232	9666	52563
233	9712	52545
234	9752	52497
235	9794	52459
236	9834	52408
237	9875	52364
238	9916	52320
239	9955	52267
240	9996	52220
241	10036	52174
242	10078	52131
243	10118	52087
244	10159	52040
245	10207	52034
246	10249	51995
247	10290	51951
248	10329	51897
249	10372	51863
250	10412	51813
251	10453	51770
252	10501	51761
253	10542	51714
254	10584	51675
255	10625	51634
256	10667	51592
257	10718	51596
258	10760	51557
259	10800	51507
260	10839	51455
261	10879	51408
262	10920	51362
263	10972	51370
264	11018	51348
265	11058	51299
266	11098	51252
267	11139	51207
268	11180	51163
269	11224	51132
270	11265	51088
271	11307	51048
272	11348	51007
273	11394	50984
274	11435	50941
275	11476	50895
276	11517	50851
277	11558	50806
278	11599	50763
279	11650	50761
280	11691	50718
281	11733	50679
282	11775	50638
283	11815	50592
284	11857	50548
285	11924	50616
286	11977	50623
287	12025	50606
288	12068	50571
289	12121	50576
290	12175	50583
291	12218	50549
292	12259	50504
293	12300	50456
294	12341	50410
295	12381	50361
296	12422	50318
297	12468	50290
298	12510	50250
299	12554	50216
300	12596	50176
301	12641	50147
302	12686	50116
303	12726	50067
304	12768	50025
305	12809	49981
306	12852	49945
307	12894	49901
308	12934	49855
309	12982	49836
310	13023	49792
311	13064	49745
312	13106	49705
313	13147	49659
314	13189	49616
315	13231	49574
316	13271	49526
317	13312	49483
318	13353	49439
319	13397	49403
320	13439	49362
321	13485	49335
322	13525	49287
323	13567	49243
324	13611	49212
325	13653	49167
326	13695	49126
327	13736	49084
328	13779	49045
329	13821	49004
330	13863	48962
331	13905	48921
332	13946	48876
333	13988	48835
334	14031	48797
335	14072	48750
336	14114	48708
337	14154	48662
338	14198	48625
339	14239	48583
340	14280	48538
341	14322	48493
342	14365	48456
343	14407	48415
344	14450	48379
345	14496	48349
346	14546	48334
347	14593	48311
348	14645	48300
349	14686	48255
350	14728	48212
351	14801	48272
352	14851	48258
353	14899	48234
354	14955	48237
355	15010	48235
356	15058	48212
357	15106	48189
358	15157	48173
359	15208	48160
360	15257	48138
361	15310	48131
362	15356	48098
363	15400	48063
364	15446	48032
365	15494	48007
366	15539	47972
367	15588	47952
368	15632	47915
369	15676	47877
