District,Province,Latitude,Longitude,Population,Elevation_m,River_Status,Area_sq_km,Sanitation_Index
Badin,Sindh,24.656,68.837,2182111,9,1,6726,0.35
Dadu,Sindh,26.733,67.776,1873835,40,2,19070,0.35
Ghotki,Sindh,27.994,69.314,1989892,72,1,6083,0.35
Hyderabad,Sindh,25.396,68.377,2659637,20,2,993,0.75
Jacobabad,Sindh,28.277,68.437,1216179,55,0,2686,0.35
Jamshoro,Sindh,25.433,68.275,1200463,33,2,11204,0.35
Kamber,Sindh,27.586,68,1621170,50,0,5599,0.2
Central,Sindh,24.931,67.042,3591719,10,0,69,0.95
East,Sindh,24.89,67.086,3514347,10,0,165,0.95
Keamari,Sindh,24.827,66.974,2215961,2,0,559,0.2
Korangi,Sindh,24.828,67.124,2970331,8,0,95,0.2
Malir,Sindh,24.996,67.241,2428732,20,0,2268,0.75
South,Sindh,24.852,67.018,2166395,4,0,122,0.95
West,Sindh,24.887,66.974,4732945,15,0,929,0.75
Kashmore,Sindh,28.433,69.583,1316520,60,2,2592,0.35
Khairpur,Sindh,27.529,68.759,2908676,53,2,15910,0.5
Larkana,Sindh,27.559,68.209,1842403,48,2,1906,0.5
Matiari,Sindh,25.597,68.446,930873,25,2,1417,0.2
Mirpurkhas,Sindh,25.526,69.011,1820642,16,0,2925,0.5
Naushero Feroze,Sindh,26.84,68.122,1948788,38,2,2945,0.2
Qambar Shahdadkot,Sindh,27.586,68,1621170,50,0,5599,0.2
Sanghar,Sindh,26.046,68.948,2486760,16,1,10608,0.2
Shaheed Benazirabad,Sindh,26.248,68.409,1949997,30,2,4502,0.5
Shikarpur,Sindh,27.954,68.638,1488188,52,1,2512,0.35
Sukkur,Sindh,27.71,68.822,1798882,65,2,5165,0.75
Tando Allahyar,Sindh,25.46,68.716,1011871,18,0,2343,0.2
Tando Muhammad Khan,Sindh,25.123,68.536,818443,14,2,1733,0.2
Tharparkar,Sindh,24.877,70.24,1994728,56,0,19638,0.35
Thatta,Sindh,24.747,67.923,1184747,10,2,17355,0.35
Umerkot,Sindh,25.354,69.736,1297177,12,0,5608,0.35
Abbottabad,KPK,34.155,73.214,1611498,1256,0,1967,0.75
Bajaur,KPK,34.786,71.524,1321356,900,0,1290,0.2
Bannu,KPK,32.986,70.604,1410816,312,1,1227,0.2
Battagram,KPK,34.679,73.023,575449,1036,0,1301,0.2
Buner,KPK,34.394,72.493,1084406,700,0,1865,0.35
Charsadda,KPK,34.15,71.733,1953624,300,2,996,0.2
Chitral Lower,KPK,35.851,71.786,336081,1500,1,6458,0.35
Chitral Upper,KPK,36.273,72.194,204308,2500,1,8392,0.2
Dera Ismail Khan,KPK,31.831,70.901,2050338,170,2,7326,0.2
Dir Lower,KPK,34.845,71.802,1734809,800,1,1583,0.35
Dir Upper,KPK,35.207,71.876,1143644,1200,1,3699,0.35
Hangu,KPK,33.528,71.059,627433,900,0,1097,0.2
Haripur,KPK,33.994,72.934,1212553,605,2,1725,0.65
Karak,KPK,33.116,71.091,853502,500,0,3372,0.2
Khyber,KPK,33.957,71.144,1193210,1000,0,2576,0.2
Kohat,KPK,33.586,71.441,1200463,500,0,2545,0.65
Kolai Pallas,KPK,35.069,73.218,331246,2000,2,1410,0.2
Kohistan Lower,KPK,35.086,73.011,244203,1500,2,1200,0.2
Kohistan Upper,KPK,35.316,73.23,369931,2500,2,4000,0.2
Kurram,KPK,33.722,70.32,604463,1500,1,3380,0.2
Lakki Marwat,KPK,32.607,70.911,1059019,250,1,3164,0.2
Malakand,KPK,34.565,71.93,870427,700,1,952,0.2
Mansehra,KPK,34.333,73.196,1881089,1000,0,4579,0.2
Mardan,KPK,34.195,72.044,2868781,300,0,1632,0.65
Mohmand,KPK,34.428,71.391,563359,600,0,2296,0.2
North Waziristan,KPK,32.974,70.145,656447,1000,1,4707,0.2
Nowshera,KPK,34.01,71.98,1835149,280,2,1748,0.65
Orakzai,KPK,33.682,70.941,307067,1200,0,1538,0.2
Peshawar,KPK,34.015,71.524,5160904,330,0,1257,0.75
Shangla,KPK,34.887,72.756,915157,2000,2,1586,0.35
South Waziristan Lower,KPK,32.302,69.578,820861,1000,1,2500,0.2
South Waziristan Upper,KPK,32.551,69.833,488438,1500,1,4000,0.2
Swabi,KPK,34.116,72.465,1963296,340,2,1543,0.65
Swat,KPK,35.222,72.425,2791410,980,1,5337,0.35
Tank,KPK,32.215,70.38,472690,250,0,1679,0.2
Torghar,KPK,34.636,72.822,206726,1500,2,497,0.2
Upper Kohistan,KPK,35.316,73.23,748325,2500,2,4000,0.2
Awaran,Balochistan,26.398,65.234,178958,500,0,29510,0.2
Barkhan,Balochistan,29.897,69.525,210249,1100,0,3514,0.2
Chagai,Balochistan,28.878,64.711,269192,919,0,44748,0.2
Chaman,Balochistan,30.917,66.45,466218,1340,0,1341,0.2
Dera Bugti,Balochistan,28.887,69.155,355274,250,0,10160,0.2
Duki,Balochistan,30.15,68.566,205044,1100,0,4233,0.2
Gwadar,Balochistan,25.121,62.325,305160,12,0,12637,0.35
Harani,Balochistan,30.1,67.933,127571,900,0,2492,0.2
Jaffarabad,Balochistan,28.455,68.303,594558,55,1,1643,0.2
Jhal Magsi,Balochistan,28.324,67.456,203368,60,0,3615,0.2
Kacchi,Balochistan,29.296,67.574,442674,80,0,5682,0.2
Kalat,Balochistan,29.027,66.586,271560,2000,0,7654,0.2
Kech,Balochistan,26.003,63.048,1060931,150,0,22539,0.2
Kharan,Balochistan,28.583,65.416,260352,700,0,14958,0.2
Khuzdar,Balochistan,27.816,66.606,997214,1237,0,35380,0.2
Killa Abdullah,Balochistan,30.73,66.657,361971,1500,0,3553,0.2
Killa Saifullah,Balochistan,30.7,68.359,380200,1500,0,6831,0.2
Kohlu,Balochistan,29.896,69.252,260220,1000,0,7610,0.2
Lasbela,Balochistan,25.875,66.422,680977,50,0,15153,0.35
Loralai,Balochistan,30.37,68.597,272432,1400,0,3785,0.2
