year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m_y,river_status_y,area_sq_km_y,sanitation_index_y,malaria_cases,ad_cases,typhoid_cases,flood_inundation,mean_ndvi,stagnant_water
2024,Badin,18,0,31.8511,33.6223,2182111,9,1,6726,0.35,3483,3076,73,0.8010217072611596,0.1265806772336978,0.6439686790385348
2024,Dadu,18,0,31.4542,20.4812,1873835,40,2,19070,0.35,3469,3383,179,0.488809598,0.1007133669031318,0.5016813467524673
2024,Ghotki,18,0,30.3841,22.8774,1989892,72,1,6083,0.35,793,1073,180,0.7785910438640596,0.138247273,0.7647725016121041
2024,Hyderabad,18,0,32.0625,26.6468,2659637,20,2,993,0.75,171,953,0,0.5055817971866894,0.1469817195583312,0.37532149
2024,Jacobabad,18,0,30.3584,19.5134,1216179,55,0,2686,0.35,670,766,118,0.8256559481942716,0.1241247535107816,0.7630956179769718
2024,Jamshoro,18,0,31.9989,26.5557,1200463,33,2,11204,0.35,1902,2728,47,,,
2024,Kamber,18,0,31.269,17.9454,1621170,50,0,5599,0.2,3249,1659,149,,,
2024,Central,18,0,29.7327,48.7947,3591719,10,0,69,0.95,89,1187,2,0,0.082368894,
2024,East,18,0,29.7358,51.0429,3514347,10,0,165,0.95,54,496,7,0.056086505,0.1141332433150428,
2024,Keamari,18,0,29.5397,52.7802,2215961,2,0,559,0.2,2,165,0,0.5265842403480967,0.1122837119108724,0.5266213640265998
2024,Korangi,18,0,29.6496,51.8051,2970331,8,0,95,0.2,37,208,0,0.056086505,0.1141332433150428,
2024,Malir,18,0,29.8893,48.1606,2428732,20,0,2268,0.75,178,1687,49,0.4332801751094429,0.1152948755078815,
2024,South,18,0,29.4441,45.5933,2166395,4,0,122,0.95,41,94,0,0.1322512147779529,0.1005115134059425,
2024,West,18,0,29.6578,50.3329,4732945,15,0,929,0.75,141,1132,96,0.5265842403480967,0.1122837119108724,0.5266213640265998
2024,Kashmore,18,0,29.9786,23.7549,1316520,60,2,2592,0.35,1318,597,183,,,
2024,Khairpur,18,0,31.4456,18.4322,2908676,53,2,15910,0.5,4432,3848,124,0.8025680213467192,0.074645145,0.7507426349707418
2024,Larkana,18,0,31.5411,17.7085,1842403,48,2,1906,0.5,5782,2203,0,0.6952027343324165,0.1236781926852986,0.7113885095696151
2024,Matiari,18,0,32.1671,22.8616,930873,25,2,1417,0.2,1574,2329,40,,,
2024,Mirpurkhas,18,0,32.5961,22.5577,1820642,16,0,2925,0.5,2482,2459,54,,,
2024,Naushero Feroze,18,0,32.0679,18.5798,1948788,38,2,2945,0.2,830,576,99,0.7396148383778672,0.1483637882487722,0.5826657579471273
2024,Sanghar,18,0,32.1644,22.8234,2486760,16,1,10608,0.2,3481,1360,89,0.6284292162081024,0.098486773,0.5271509166177769
2024,Shaheed Benazirabad,18,0,32.0329,19.0874,1949997,30,2,4502,0.5,1784,2188,230,0.774334107,0.1292919586283176,0.650202432
2024,Shikarpur,18,0,30.9894,18.5414,1488188,52,1,2512,0.35,1944,1186,50,0.8292878996293365,0.1467870386550513,0.74153334
2024,Sujawal,18,0,30.8307,44.6302,945380,,,,,1429,767,40,,,
2024,Sukkur,18,0.0143,31.0458,19.3428,1798882,65,2,5165,0.75,1743,1500,39,0.7317569094058288,0.1366788649418704,0.6829856419767106
2024,Tando Allahyar,18,0,32.4122,23.3558,1011871,18,0,2343,0.2,1379,1534,32,,,
2024,Tando Muhammad Khan,18,0,31.599,32.8457,818443,14,2,1733,0.2,1728,1274,0,,,
2024,Tharparkar,18,0,32.4665,26.5694,1994728,56,0,19638,0.35,2031,1352,8,0.9179228512127692,0.082859824,0.9133148040802758
2024,Thatta,18,0,30.6364,45.4836,1184747,10,2,17355,0.35,1769,1521,84,0.7305471127107503,0.1108836549811411,0.8198750886195606
2024,Umerkot,18,0,32.2899,23.4513,1297177,12,0,5608,0.35,1977,1434,0,0.996483048,0.1018640620550155,0.996483048
2024,Awaran,18,,,,0,500,0,29510,0.2,88,17,0,0.2366478493100486,0.068466411,0.2131495752021431
2024,Barkhan,18,0.1857,24.6586,23.0168,206726,1100,0,3514,0.2,64,100,0,0.2411199855440803,0.1401861151706291,0.1967610620571764
2024,Chagai,18,0.1,24.9158,19.5596,273217,919,0,44748,0.2,49,139,0,0.7940355657975007,0.045811689,0.7468734725962608
2024,Chaman,18,,,,0,1340,0,1341,0.2,1,23,0,,,
2024,Dera Bugti,18,0,28.0118,19.6498,378394,250,0,10160,0.2,139,65,0,0.446463214,0.089463646,0.418737117
2024,Duki,18,,,,0,1100,0,4233,0.2,30,77,0,,,
2024,Gwadar,18,0.0143,27.6905,75.7175,317947,12,0,12637,0.35,82,500,8,0.7087802023172218,0.052375633,0.6755674718103095
2024,Harnai,18,,,,0,,,,,50,81,0,,,
2024,Hub,18,0,29.6561,46.5397,461810,,,,,165,210,0,,,
2024,Jaffarabad,18,,,,621388,55,1,1643,0.2,335,252,0,0.7802569468512811,0.111793007,0.7102167220422668
2024,Jhal Magsi,18,,,,180130,60,0,3615,0.2,331,276,0,0.7891349303519749,0.1063356599474078,0.7587698726194949
2024,Kachhi (Bolan),18,0,24.553,21.6081,417079,,,,,122,140,1,,,
2024,Kalat,18,0.1286,14.7146,33.089,498077,2000,0,7654,0.2,21,30,0,0.3141620665751409,0.1088599143368198,0.2484041927129784
2024,Kech (Turbat),18,,,,1098914,,,,,187,453,280,,,
2024,Kharan,18,0,24.044,29.3924,188592,700,0,14958,0.2,37,167,0,0.7296034963118706,0.057946107,0.6893171507536159
2024,Khuzdar,18,0.1,22.3955,24.0769,969559,1237,0,35380,0.2,52,92,0,0.1108527406385892,0.098293014,0.07916226
2024,Killa Saifullah,18,0.1,18.6365,32.1941,413453,1500,0,6831,0.2,137,132,0,0.647700173,0.085637885,0.4955409222334363
2024,Kohlu,18,0.0143,23.266,24.4235,258710,1000,0,7610,0.2,96,192,0,0.1804571779688657,0.1116370945461356,0.1541778271954414
2024,Lasbella,18,0,28.2981,48.6162,697550,,,,,322,309,2,,,
2024,Loralai,18,0.0571,19.7243,29.4057,479944,1400,0,3785,0.2,25,158,0,0.2659327577046257,0.1258265461043377,0.2264569826441262
2024,Mastung,18,0.0857,16.1825,38.7387,321574,1700,0,3308,0.2,46,138,0,0.4294294207202127,0.1136175518399896,0.3241322039629878
2024,Naseerabad,18,0,30.9316,17.8842,592374,,,,,148,274,0,,,
2024,Panjgur,18,0.0714,24.0115,27.3599,382021,900,0,16891,0.2,145,235,0,0.4682638880164376,0.062670859,0.3802302388635458
2024,Pishin,18,0.4571,14.7801,52.4128,889769,1550,0,6218,0.2,9,76,0,0.7759822335705692,0.085559902,0.4131794318204909
2024,Quetta,18,0.2571,15.6605,44.8966,2751515,1680,0,3447,0.75,5,266,0,0.5450500528723178,0.096066157,0.4100232835621998
2024,Sherani,18,,,,0,1500,0,2700,0.2,11,17,0,,,
2024,Sibi,18,0,26.9879,35.3818,163205,130,0,7121,0.2,264,205,0,0.2139372420056167,0.1225740622970988,0.1650588943177761
2024,Sohbat pur,18,0,30.7416,18.4581,241785,,,,,346,197,0,,,
2024,Surab,18,0.0571,16.316,28.608,0,,,,,12,55,0,,,
2024,Usta Muhammad,18,0,30.3157,18.7582,314321,,,,,384,468,0,,,
2024,Washuk,18,0.2571,19.7069,26.8577,212771,700,0,33093,0.2,15,76,0,,,
2024,Zhob,18,0.2286,18.1581,44.9539,374767,1400,0,20297,0.2,42,124,0,0.4636254026519421,0.095072929,0.5037737541542153
2024,Abbottabad,18,5.6714,16.4167,66.1643,1611498,1256,0,1967,0.75,4,518,12,,,
2024,Bajaur,18,3.3429,14.9616,60.9705,1321356,900,0,1290,0.2,85,145,9,,0.2970854048293178,
2024,Bannu,18,0.3714,21.8017,56.8,1410816,312,1,1227,0.2,1316,763,33,0.4155587924749333,0.1655090679961864,
2024,Battagram,18,6.1,16.4966,62.6087,575449,1036,0,1301,0.2,0,96,0,,,
2024,Buner,18,1.1571,19.2663,61.0173,1084406,700,0,1865,0.35,216,338,2,,0.3364659937357771,
2024,Chitral Lower,18,0.7429,11.1205,55.5206,336081,1500,1,6458,0.35,3,178,4,0.052895577,0.004307284,
2024,Chitral Upper,18,0.7429,11.1205,55.5206,204308,2500,1,8392,0.2,3,78,1,0.052895577,0.004307284,
2024,D.I. Khan,18,0.2143,24.2942,51.4615,2050338,,,,,258,2208,38,,,
2024,Dir Lower,18,0.5429,21.6033,57.1949,1734809,800,1,1583,0.35,324,890,20,,,
