year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m,river_status,area_sq_km,sanitation_index,malaria_cases,ad_cases,typhoid_cases,flood_inundation,mean_ndvi,stagnant_water
2026,Badin,1,0.0714,18.7557,61.3992,1947081,9,1,6726,0.35,1948,1745,151,0.310329579,0.2294386,0.278963417
2026,Dadu,1,0.1714,15.5813,74.4181,1742320,40,2,19070,0.35,3573,1984,324,0.41179959,0.13804395,0.357993945
2026,Ghotki,1,0.5286,15.3705,71.4446,1772609,72,1,6083,0.35,2270,692,72,0.667870994,0.047660064,0.360047476
2026,Hyderabad,1,0.8571,17.8643,65.8069,2432540,20,2,993,0.75,432,2029,92,0.19452629,0.29375855,0.177908119
2026,Jacobabad,1,0.4,15.4396,68.2081,1174097,55,0,2686,0.35,786,502,66,0.439664744,0.159068535,0.218658585
2026,Jamshoro,1,1.1286,17.6485,64.4009,1117308,33,2,11204,0.35,1662,1198,62,,,
2026,Kamber,1,0.0143,15.8833,68.2155,1514869,50,0,5599,0.2,1822,1282,90,,,
2026,Karachi Central,1,0.1,19.7455,58.8449,3822325,0,0,0,0,13,1522,0,0,0.077165179,0
2026,Karachi East,1,0.2429,18.9616,62.2786,3950031,0,0,0,0,34,211,1,0.048858745,0.118260406,0.033107252
2026,Karachi Keamari,1,0,0,0,2068451,0,0,0,0,2,501,0,,,
2026,Karachi Korangi,1,0.1143,19.7997,60.1836,3128971,0,0,0,0,100,373,9,,,
2026,Karachi Malir,1,0.2429,18.9616,62.2786,2403959,0,0,0,0,28,499,17,,,
2026,Karachi South,1,0.5857,17.808,63.7113,2329764,0,0,0,0,15,71,0,0.109831559,0.102968671,0.082396467
2026,Karachi West,1,0.2286,19.4411,61.7655,2679380,0,0,0,0,344,760,18,0.516067976,0.132626689,0.387171412
2026,Kashmore,1,1.3286,15.2586,70.3573,1233957,60,2,2592,0.35,2002,238,33,,,
2026,Khairpur,1,0.2714,16.0128,66.4719,2597535,53,2,15910,0.5,3798,2510,227,0.760129483,0.092404721,0.905771133
2026,Larkana,1,1.8143,16.2655,65.6913,1784453,48,2,1906,0.5,2944,1156,206,0.268710222,0.115674526,0.239795959
2026,Matiari,1,0.4857,17.1488,66.8595,849383,25,2,1417,0.2,2003,1061,42,,,
2026,Mirpurkhas,1,0.6286,16.6732,72.011,1681386,16,0,2925,0.5,1530,2246,138,,,
2026,Naushero Feroze,1,0.0714,15.8357,70.734,1777082,38,2,2945,0.2,1096,1211,241,0.185070343,0.156832821,0.17591679
2026,Sanghar,1,0.0429,15.8381,76.9993,2308465,16,1,10608,0.2,3300,1413,70,0.585805547,0.236687342,0.554916672
2026,Shaheed Benazirabad,1,0.0857,15.5247,75.0017,1845102,30,2,4502,0.5,1846,1157,73,0.366217473,0.259408189,0.313898572
2026,Shikarpur,1,1.4,16.1756,64.0064,1386330,52,1,2512,0.35,1994,755,124,0.290255918,0.032918243,0.262667831
2026,Sujawal,1,0.1429,18.7387,62.1748,839292,0,0,0,0,563,959,92,,,
2026,Sukkur,1,0.2143,15.5708,71.8011,1639897,65,2,5165,0.75,1500,797,101,0.58282387,0.044263467,0.556361772
2026,Tando Allahyar,1,2.8143,17.2735,67.6707,922012,18,0,2343,0.2,1089,693,81,,,
2026,Tando Muhammad Khan,1,0.1857,17.8527,65.1583,726119,14,2,1733,0.2,405,727,89,,,
2026,Tharparkar,1,0.5429,17.8036,63.5787,1778407,56,0,19638,0.35,1696,2038,108,0.887382569,0.133264099,0.827153738
2026,Thatta,1,0.1857,18.506,65.234,1083191,10,2,17355,0.35,957,1151,11,0.510245373,0.16411755,0.472947767
2026,Umerkot,1,0.2429,17.2923,67.0692,1159831,12,0,5608,0.35,1586,1290,69,0.68536544,0.200886594,0.636881502
2026,Awaran,1,0,0,0,178958,500,0,29510,0.2,0,0,0,0.385021066,0.054792223,0.277100519
2026,Barkhan,1,0.8714,10.4018,63.1186,210249,1100,0,3514,0.2,17,57,15,0.2835153,0.117073959,0.279812238
2026,Chagai,1,2.4429,10.789,55.3666,269192,919,0,44748,0.2,12,69,8,0.828490691,0.044623811,0.870025594
2026,Chaman,1,0,0,0,466218,1340,0,1341,0.2,1,65,38,,,
2026,Dera Bugti,1,0.7857,13.3933,68.845,355274,250,0,10160,0.2,1,14,6,0.513182283,0.098310932,0.473416692
2026,Duki,1,0,0,0,205044,1100,0,4233,0.2,0,0,0,,,
2026,Gwadar,1,0.6429,19.9728,53.2582,305160,12,0,12637,0.35,12,14,2,0.679684061,0.049725526,0.597099879
2026,Harnai,1,0,0,0,127571,0,0,0,0,53,145,0,,,
2026,Hub,1,0.1286,17.7762,65.8083,382885,0,0,0,0,75,132,0,,,
2026,Jaffarabad,1,0,0,0,594558,55,1,1643,0.2,187,150,4,0.260176558,0.232630157,0.135567601
2026,Jhal Magsi,1,0,0,0,203368,60,0,3615,0.2,178,120,8,0.716310724,0.118017205,0.695511473
2026,Kachhi (Bolan),1,0.7286,11.7784,50.9149,0,0,0,0,0,408,268,0,,,
2026,Kalat,1,1.0286,5.0438,49.9024,271560,2000,0,7654,0.2,0,0,0,0.212823343,0.065722114,0.146979201
2026,Kech (Turbat),1,0,0,0,1060931,0,0,0,0,26,83,0,,,
2026,Kharan,1,1.9429,11.4699,61.7308,260352,700,0,14958,0.2,9,134,4,0.72670664,0.046944336,0.671404866
2026,Khuzdar,1,0.9571,10.8621,48.9822,997214,1237,0,35380,0.2,11,16,7,0.260717811,0.084470953,0.100191317
2026,Killa Abdullah,1,3.9286,7.7623,59.9486,361971,1500,0,3553,0.2,2,113,3,0.770748117,0.038748786,0.713991488
2026,Killa Saifullah,1,0.5571,6.4879,56.1886,380200,1500,0,6831,0.2,0,0,0,0.676756397,0.048692981,0.693001433
2026,Kohlu,1,1.1571,9.6269,61.4858,260220,1000,0,7610,0.2,12,12,5,0.20729176,0.099627957,0.286859089
2026,Lasbella,1,0.1429,18.2244,65.1918,680977,0,0,0,0,209,305,4,,,
2026,Loralai,1,1.0714,6.439,58.7588,272432,1400,0,3785,0.2,8,192,17,0.325187855,0.076281525,0.260550103
2026,Mastung,1,2.1286,4.8086,61.3539,313271,1700,0,3308,0.2,26,130,3,0.129157194,0.050375539,0.047402273
2026,MusaKhel,1,0.8714,7.3259,56.308,196756,0,0,0,0,48,70,6,0.306892195,0.109375527,0.281071807
2026,Naseerabad,1,0.2143,15.8107,67.0846,563315,0,0,0,0,191,269,34,,,
2026,Nushki,1,1.7,9.9735,60.1662,207834,900,0,5797,0.2,0,0,0,,,
2026,Panjgur,1,0.2857,11.3006,52.0391,509781,900,0,16891,0.2,0,0,0,0.407727252,0.047495785,0.383623246
2026,Pishin,1,3.0857,5.5065,65.0532,835482,1550,0,6218,0.2,8,193,20,0.751774788,0.034998474,0.684663705
2026,Quetta,1,2.2286,5.8013,60.3593,2595492,1680,0,3447,0.75,7,199,15,0.207208995,0.042977515,0.103536735
2026,Sherani,1,0,0,0,191687,1500,0,2700,0.2,0,0,0,,,
2026,Sibi,1,0.3571,13.8866,65.3204,224148,130,0,7121,0.2,240,340,24,0.196147019,0.089665974,0.119117385
2026,Sohbat pur,1,0.3714,15.6292,67.3762,240106,0,0,0,0,45,198,8,,,
2026,Surab,1,1.0286,5.7583,50.859,279038,0,0,0,0,0,16,0,,,
2026,Usta Muhammad,1,0.7429,15.0932,72.7198,0,0,0,0,0,100,464,1,,,
2026,Washuk,1,0.1,8.7601,53.26,302623,700,0,33093,0.2,0,0,0,,,
2026,Zhob,1,0.8429,6.4786,57.3394,355692,1400,0,20297,0.2,0,20,5,0.577266448,0.061205528,0.46900486
2026,Ziarat,1,0,0,0,189535,2400,0,3301,0.2,29,37,5,0.290319096,0.043083041,0.216046424
2026,Abbottabad,1,2.7143,8.7238,68.2289,1419072,1256,0,1967,0.75,0,557,19,0.046969103,0.243916632,0.068437448
2026,Bajaur,1,3.4429,7.3565,60.0284,0,900,0,1290,0.2,76,410,1,,0.169260271,
2026,Bannu,1,0.5429,11.2985,69.4306,1357890,312,1,1227,0.2,795,506,83,0.221058724,0.203497652,0.213655598
2026,Battagram,1,5.3429,6.0708,70.0299,335984,1036,0,1301,0.2,27,201,3,,,
2026,Buner,1,1.7286,10.1539,71.0074,0,700,0,1865,0.35,149,128,5,0.171608189,0.26407695,0.070791798
2026,Charsadda,1,1.4143,10.4744,78.922,1835504,300,2,996,0.2,190,1231,57,,0.142118488,
2026,Chitral Lower,1,0.0571,2.2897,64.4171,0,1500,1,6458,0.35,9,259,5,0.196662173,-0.014666224,0.074449827
2026,Chitral Upper,1,0.0571,2.2897,64.4171,195528,2500,1,8392,0.2,5,90,7,0.196662173,-0.014666224,0.074449827
2026,D.I. Khan,1,0.2143,11.8848,82.4062,1829811,0,0,0,0,164,1356,2,,,
2026,Dir Lower,1,1.5857,11.3104,68.9031,0,800,1,1583,0.35,65,792,18,,,
2026,Dir Upper,1,2.9286,2.9262,76.2974,0,1200,1,3699,0.35,11,635,8,,,
2026,Hangu,1,1.8,8.5982,65.2908,528902,900,0,1097,0.2,64,190,3,0.245829053,0.17437948,0.1120402
2026,Haripur,1,2.0571,9.7435,77.5522,1174783,605,2,1725,0.65,0,740,45,0.302150206,0.228814131,0.252005102
2026,Karak,1,0.8571,10.9363,68.8316,815878,500,0,3372,0.2,55,239,3,,0.141793335,
2026,Khyber,1,1.4429,9.6854,65.4393,1146267,1000,0,2576,0.2,91,305,55,0.159746083,0.161889882,0.022144322
2026,Kohat,1,1.0571,11.314,63.9466,1234661,500,0,2545,0.65,43,274,8,,0.156380624,
2026,Kohistan Lower,1,0.0143,-13.3266,84.9624,340017,1500,2,1200,0.2,0,58,0,0.083161103,0.043140109,0.022533304
2026,Kohistan Upper,1,0.0143,-13.3266,84.9624,422947,2500,2,4000,0.2,2,187,0,0.083161103,0.043140109,0.022533304
2026,Kolai Palas,1,0.0143,-13.3266,84.9624,280162,0,0,0,0,0,70,0,,,
2026,L & C Kurram,1,1.3,-0.1065,72.814,0,0,0,0,0,9,17,0,,,
2026,Lakki Marwat,1,0.4714,10.5229,79.5388,1040856,250,1,3164,0.2,161,203,3,0.177918999,0.147976939,0.16555984
2026,Malakand,1,1.6429,10.9726,66.9623,0,700,1,952,0.2,18,340,0,,0.230692565,
2026,Mansehra,1,2.9143,7.6396,70.854,1797177,1000,0,4579,0.2,0,355,42,0.186949973,0.147679518,0.114747604
2026,Mardan,1,1.2143,10.2682,82.9053,2744898,300,0,1632,0.65,13,673,12,0.352605726,0.148354486,0.140462177
2026,Mohmand,1,1.6429,10.9726,66.9623,553933,600,0,2296,0.2,77,45,5,,0.13602825,
2026,North Waziristan,1,0.1,-4.0325,73.0829,693332,1000,1,4707,0.2,50,53,37,0.286717893,0.123648328,0.1707712
2026,Nowshera,1,1.4429,10.603,76.0262,1740705,280,2,1748,0.65,32,811,4,0.570205591,0.148889248,0.423087312
2026,Orakzai,1,1.2143,7.5045,66.18,387561,1200,0,1538,0.2,1,36,0,0.18477293,0.216630247,0.065575839
2026,Peshawar,1,0.9857,10.8798,79.6094,4758762,330,0,1257,0.75,9,2429,22,,0.17533277,
2026,Shangla,1,1.1429,1.7786,63.7653,0,2000,2,1586,0.35,58,511,18,0.029779628,0.231577666,0.007303933
2026,South Waziristan (Lower),1,1.2571,7.4711,58.5456,0,0,0,0,0,12,42,7,,,
2026,SWU,1,1.2571,7.4711,58.5456,0,0,0,0,0,11,23,0,,,
2026,Swabi,1,2.2,10.0833,84.1807,1894600,340,2,1543,0.65,45,826,41,0.387096333,0.169959251,0.302341619
2026,Swat,1,2.1571,9.1062,66.9472,0,980,1,5337,0.35,8,1292,48,0.164832203,0.093083445,0.07722387
2026,Tank,1,0.4571,11.3247,70.7607,470293,250,0,1679,0.2,96,308,0,0.176172194,0.170010157,0.165107229
2026,Tor Ghar,1,2.0571,10.4975,77.6614,200445,0,0,0,0,12,50,3,,,
2026,Upper Kurram,1,1.3,-0.1065,72.814,785434,0,0,0,0,8,132,9,,,
2026,Badin,2,0,15.8113,49.3167,1947081,9,1,6726,0.35,1861,1743,146,0.673216051,0.229066442,0.306395819
2026,Dadu,2,0,13.4003,73.7526,1742320,40,2,19070,0.35,3181,1993,293,0.439712206,0.150917888,0.337072534
2026,Ghotki,2,0,12.8527,76.9932,1772609,72,1,6083,0.35,1169,548,68,0.635993624,0.217547719,0.567507478
2026,Hyderabad,2,0,15.2211,58.7476,2432540,20,2,993,0.75,417,1890,56,0.450505633,0.28832396,0.185273589
2026,Jacobabad,2,0,12.8878,72.5646,1174097,55,0,2686,0.35,782,407,51,0.704472489,0.150245399,0.434880208
2026,Jamshoro,2,0,15.1637,56.9401,1117308,33,2,11204,0.35,1776,1213,58,,,
2026,Kamber,2,0,13.6518,68.8578,1514869,50,0,5599,0.2,1913,1279,79,,,
2026,Karachi Central,2,0,18.1661,43.9322,3822325,0,0,0,0,16,1546,1,0,0.074802242,0
2026,Karachi East,2,0,17.3786,46.7579,3950031,0,0,0,0,11,211,0,0.045290538,0.113960634,0.034049258
2026,Karachi Keamari,2,0,0,0,2068451,0,0,0,0,0,539,3,,,
2026,Karachi Korangi,2,0,18.2345,44.5945,3128971,0,0,0,0,90,376,2,,,
2026,Karachi Malir,2,0,17.3786,46.7579,2403959,0,0,0,0,24,502,13,,,
2026,Karachi South,2,0,16.1548,49.9809,2329764,0,0,0,0,14,69,0,0.107434571,0.107816833,0.088949103
2026,Karachi West,2,0,18.1902,44.5918,2679380,0,0,0,0,385,837,18,0.420612959,0.123904906,0.380643516
2026,Kashmore,2,0.0143,12.4991,77.374,1233957,60,2,2592,0.35,1589,188,20,,,
2026,Khairpur,2,0,13.344,70.4444,2597535,53,2,15910,0.5,2844,2272,264,0.966955252,0.125208593,0.914207763
2026,Larkana,2,0,13.9134,66.9992,1784453,48,2,1906,0.5,2966,1078,225,0.498823935,0.225413481,0.236627228
2026,Matiari,2,0,14.4667,59.9646,849383,25,2,1417,0.2,1689,962,41,,,
2026,Mirpurkhas,2,0,13.9348,62.2661,1681386,16,0,2925,0.5,1256,2240,116,,,
2026,Naushero Feroze,2,0,13.319,71.6169,1777082,38,2,2945,0.2,1046,1133,123,0.622040443,0.119192048,0.177412094
2026,Sanghar,2,0,12.8643,70.8514,2308465,16,1,10608,0.2,3068,1337,74,0.726793835,0.238085559,0.580000422
2026,Shaheed Benazirabad,2,0,12.9464,73.1698,1845102,30,2,4502,0.5,1691,1123,82,0.630092783,0.178264361,0.314673942
2026,Shikarpur,2,0,13.7378,67.285,1386330,52,1,2512,0.35,1229,708,125,0.667114362,-0.003114671,0.392897485
2026,Sujawal,2,0,16.2929,48.7873,839292,0,0,0,0,235,788,95,,,
2026,Sukkur,2,0,13.2042,74.1594,1639897,65,2,5165,0.75,1194,767,104,0.760003348,0.16864743,0.611335696
2026,Tando Allahyar,2,0,14.403,59.3626,922012,18,0,2343,0.2,784,686,84,,,
2026,Tando Muhammad Khan,2,0,15.2039,53.2694,726119,14,2,1733,0.2,383,686,87,,,
2026,Tharparkar,2,0,15.4625,48.9234,1778407,56,0,19638,0.35,1555,1941,69,0.913705748,0.132068148,0.863681195
2026,Thatta,2,0,16.2399,54.182,1083191,10,2,17355,0.35,788,1163,14,0.616834003,0.171186176,0.468178753
2026,Umerkot,2,0,14.8086,54.7377,1159831,12,0,5608,0.35,1269,1108,75,0.752496087,0.19766755,0.672713885
2026,Awaran,2,0,0,0,178958,500,0,29510,0.2,0,0,0,0.29850308,0.046242705,0.244179041
2026,Barkhan,2,0,8.8717,48.2322,210249,1100,0,3514,0.2,32,76,15,0.295055917,0.119652088,0.260016606
2026,Chagai,2,0,9.0789,40.1311,269192,919,0,44748,0.2,0,75,3,0.8110682,0.037017252,0.799219781
2026,Chaman,2,0,0,0,466218,1340,0,1341,0.2,41,41,14,,,
2026,Dera Bugti,2,0,11.5251,62.1665,355274,250,0,10160,0.2,0,0,0,0.580204284,0.093619025,0.534846223
2026,Duki,2,0,0,0,205044,1100,0,4233,0.2,0,0,0,,,
2026,Gwadar,2,0.2429,19.3951,53.5274,305160,12,0,12637,0.35,54,335,16,0.712480005,0.036568207,0.647302047
2026,Harnai,2,0,0,0,127571,0,0,0,0,347,173,0,,,
2026,Hub,2,0,16.4735,49.8342,382885,0,0,0,0,33,96,3,,,
2026,Jaffarabad,2,0,0,0,594558,55,1,1643,0.2,20,159,7,0.490087104,0.317442802,0.139005943
2026,Jhal Magsi,2,0,0,0,203368,60,0,3615,0.2,93,219,6,0.751228511,0.199266032,0.694290679
2026,Kachhi (Bolan),2,0,10.688,28.9872,0,0,0,0,0,78,209,0,,,
2026,Kalat,2,0,2.1265,44.279,271560,2000,0,7654,0.2,0,0,0,0.269323521,0.049275875,0.122131535
2026,Kech (Turbat),2,0,0,0,1060931,0,0,0,0,2,101,0,,,
2026,Kharan,2,0.2,10.358,39.4886,260352,700,0,14958,0.2,2,129,3,0.713026699,0.041886789,0.692913948
2026,Khuzdar,2,0,7.9761,41.1116,997214,1237,0,35380,0.2,23,293,64,0.153642819,0.081326172,0.100882363
2026,Killa Abdullah,2,0.0571,5.253,53.9747,361971,1500,0,3553,0.2,34,129,18,0.833736684,0.036599009,0.750588577
2026,Killa Saifullah,2,0,4.4537,35.4558,380200,1500,0,6831,0.2,322,175,16,0.637759587,0.047872723,0.583200923
2026,Kohlu,2,0,7.7424,46.9103,260220,1000,0,7610,0.2,11,79,5,0.315043534,0.097380462,0.265618628
2026,Lasbella,2,0,16.6458,49.7122,680977,0,0,0,0,146,294,3,,,
2026,Loralai,2,0,4.8205,37.9867,272432,1400,0,3785,0.2,0,0,0,0.29357541,0.078775409,0.281332965
2026,Mastung,2,0.1143,2.1938,56.5268,313271,1700,0,3308,0.2,125,134,6,0.406408641,0.057135143,0.072777932
2026,MusaKhel,2,0,5.0164,38.8637,196756,0,0,0,0,41,59,12,0.238441046,0.112819351,0.214134504
2026,Naseerabad,2,0,13.3461,69.9207,563315,0,0,0,0,34,300,47,,,
2026,Nushki,2,0,6.436,62.6948,207834,900,0,5797,0.2,25,58,0,,,
2026,Panjgur,2,0,9.5946,40.8251,509781,900,0,16891,0.2,0,0,0,0.481291522,0.046107027,0.38869133
2026,Pishin,2,0,2.7842,54.0934,835482,1550,0,6218,0.2,181,245,18,0.790462169,0.038994254,0.70316973
2026,Quetta,2,0.0857,3.5194,53.9976,2595492,1680,0,3447,0.75,181,278,7,0.538335824,0.055679706,0.162882436
2026,Sherani,2,0,0,0,191687,1500,0,2700,0.2,0,0,0,,,
2026,Sibi,2,0,11.5881,56.5203,224148,130,0,7121,0.2,179,427,30,0.237508062,0.081247677,0.136750966
2026,Sohbat pur,2,0,13.092,71.1715,240106,0,0,0,0,149,169,5,,,
2026,Surab,2,0,2.6327,45.9854,279038,0,0,0,0,0,14,0,,,
2026,Usta Muhammad,2,0,12.758,74.6985,0,0,0,0,0,277,366,1,,,
2026,Washuk,2,0,6.7452,38.3788,302623,700,0,33093,0.2,0,0,0,,,
2026,Zhob,2,0,4.8244,37.9041,355692,1400,0,20297,0.2,88,20,0,0.325814729,0.057473417,0.27701988
2026,Ziarat,2,0,0,0,189535,2400,0,3301,0.2,160,58,8,0.352156538,0.056778089,0.238057843
2026,Abbottabad,2,0.2143,7.4075,43.4018,1419072,1256,0,1967,0.75,0,539,20,,0.241064357,
2026,Bajaur,2,0.0286,4.4339,31.3157,0,900,0,1290,0.2,78,404,2,0.321618226,,
2026,Bannu,2,0,8.9158,58.907,1357890,312,1,1227,0.2,976,601,94,0.526099589,,0.206007963
2026,Battagram,2,0,3.5012,49.1701,335984,1036,0,1301,0.2,10,261,10,,,
2026,Buner,2,0.4714,8.0878,50.0338,0,700,0,1865,0.35,97,151,5,0.29591002,0.273498112,0.099648623
2026,Charsadda,2,0,7.3682,69.7041,1835504,300,2,996,0.2,180,1369,158,0.142720373,0.237229188,
2026,Chitral Lower,2,0,-5.5266,32.0939,0,1500,1,6458,0.35,1,266,1,0.263175013,-0.019854776,0.054014123
2026,Chitral Upper,2,0,-5.5266,32.0939,195528,2500,1,8392,0.2,0,85,8,0.263175013,-0.019854776,0.054014123
2026,D.I. Khan,2,0,9.1815,83.5573,1829811,0,0,0,0,83,1185,0,,,
2026,Dir Lower,2,0,8.8417,50.5109,0,800,1,1583,0.35,61,907,18,,,
2026,Dir Upper,2,0,0.3578,55.695,0,1200,1,3699,0.35,11,552,3,,,
2026,Hangu,2,0.0143,6.7455,46.3625,528902,900,0,1097,0.2,82,283,0,0.337306845,,0.149146698
2026,Haripur,2,0,7.3911,63.306,1174783,605,2,1725,0.65,0,847,42,0.349997247,0.235314094,0.29913296
2026,Karak,2,0,9.4911,55.3654,815878,500,0,3372,0.2,49,323,2,0.618011071,,
2026,Khyber,2,0,7.7131,42.82,1146267,1000,0,2576,0.2,80,340,52,0.208304157,,0.039164862
2026,Kohat,2,0,9.7482,47.1195,1234661,500,0,2545,0.65,28,352,3,0.317066616,0.145366017,
2026,Kohistan Lower,2,0,-17.7995,60.2895,340017,1500,2,1200,0.2,0,68,2,0.207474109,0.043208071,0.021238151
2026,Kohistan Upper,2,0,-17.7995,60.2895,422947,2500,2,4000,0.2,4,196,0,0.207474109,0.043208071,0.021238151
2026,Kolai Palas,2,0,-17.7995,60.2895,280162,0,0,0,0,0,83,1,,,
2026,L & C Kurram,2,0,-0.9336,39.6845,0,0,0,0,0,0,4,1,,,
2026,Lakki Marwat,2,0,7.8208,73.5087,1040856,250,1,3164,0.2,129,210,8,0.886538342,0.115959578,0.167593027
2026,Malakand,2,0,9.1304,45.9766,0,700,1,952,0.2,24,508,0,0.265743066,0.232117896,
2026,Mansehra,2,0.1429,4.9711,52.6497,1797177,1000,0,4579,0.2,0,570,4,0.302454444,0.146642372,0.068937633
2026,Mardan,2,0,7.1491,75.9451,2744898,300,0,1632,0.65,18,669,9,0.143740644,0.236072555,0.193963674
2026,Mohmand,2,0,9.1304,45.9766,553933,600,0,2296,0.2,54,31,2,0.432461058,,
2026,North Waziristan,2,0,-7.1962,42.0519,693332,1000,1,4707,0.2,36,32,26,0.209825888,0.108541868,0.121923911
2026,Nowshera,2,0,7.8756,63.4514,1740705,280,2,1748,0.65,75,910,4,0.390651745,0.183059753,0.42581487
2026,Orakzai,2,0,5.7443,45.0782,387561,1200,0,1538,0.2,0,60,0,0.167349153,,0.128116652
2026,Peshawar,2,0.0571,7.6661,71.1536,4758762,330,0,1257,0.75,4,2559,13,0.261922016,0.180635885,
