Year,District,week_index,avg_temp_C,avg_humidity_%,avg_rainfall_mm,Population,Malaria_cases,AD_cases,Typhoid_cases,Elevation_m,River_Status,Area_sq_km,Sanitation_Index
2026,Badin,1,18.7557,61.3992,0.0714,1947081,1948,1745,151,9,1,6726,0.35
2026,Dadu,1,15.5813,74.4181,0.1714,1742320,3573,1984,324,40,2,19070,0.35
2026,Ghotki,1,15.3705,71.4446,0.5286,1772609,2270,692,72,72,1,6083,0.35
2026,Hyderabad,1,17.8643,65.8069,0.8571,2432540,432,2029,92,20,2,993,0.75
2026,Jacobabad,1,15.4396,68.2081,0.4,1174097,786,502,66,55,0,2686,0.35
2026,Jamshoro,1,17.6485,64.4009,1.1286,1117308,1662,1198,62,33,2,11204,0.35
2026,Kamber,1,15.8833,68.2155,0.0143,1514869,1822,1282,90,50,0,5599,0.2
2026,Karachi Central,1,19.7455,58.8449,0.1,3822325,13,1522,0,,,,
2026,Karachi East,1,18.9616,62.2786,0.2429,3950031,34,211,1,,,,
2026,Karachi Keamari,1,,,,2068451,2,501,0,,,,
2026,Karachi Korangi,1,19.7997,60.1836,0.1143,3128971,100,373,9,,,,
2026,Karachi Malir,1,18.9616,62.2786,0.2429,2403959,28,499,17,,,,
2026,Karachi South,1,17.808,63.7113,0.5857,2329764,15,71,0,,,,
2026,Karachi West,1,19.4411,61.7655,0.2286,2679380,344,760,18,,,,
2026,Kashmore,1,15.2586,70.3573,1.3286,1233957,2002,238,33,60,2,2592,0.35
2026,Khairpur,1,16.0128,66.4719,0.2714,2597535,3798,2510,227,53,2,15910,0.5
2026,Larkana,1,16.2655,65.6913,1.8143,1784453,2944,1156,206,48,2,1906,0.5
2026,Matiari,1,17.1488,66.8595,0.4857,849383,2003,1061,42,25,2,1417,0.2
2026,Mirpurkhas,1,16.6732,72.011,0.6286,1681386,1530,2246,138,16,0,2925,0.5
2026,Naushero Feroze,1,15.8357,70.734,0.0714,1777082,1096,1211,241,38,2,2945,0.2
2026,Sanghar,1,15.8381,76.9993,0.0429,2308465,3300,1413,70,16,1,10608,0.2
2026,Shaheed Benazirabad,1,15.5247,75.0017,0.0857,1845102,1846,1157,73,30,2,4502,0.5
