feature,importance
Elevation_m,35.167959036177635
AD_Risk,16.76884888175376
District,9.638797387276977
Area_sq_km,8.060340901890326
Population,5.483448131114898
Sanitation_Index,3.141229813473828
Typhoid_Risk,3.0724119890978807
River_Status,2.932066667489589
Avg_Humidity_lag2,1.7157024439136044
Avg_Temperature,1.399466478008374
Avg_rainfall_roll3,1.3951672464499136
Avg_Temperature_roll3,1.3311684485377724
Avg_rainfall_roll5,1.2427547577538844
Avg_Humidity,1.1743421690973608
Avg_Temperature_lag1,1.1425424525771362
Avg_Humidity_roll5,1.080137703506957
Avg_Temperature_roll5,1.05711111710097
Avg_Humidity_roll3,0.9925232302279242
Avg_Temperature_lag2,0.900210488634136
Avg_Humidity_lag1,0.7475116091667576
Avg_rainfall_lag1,0.5739868098565767
Avg_rainfall,0.5675633980867284
Avg_rainfall_lag2,0.4147088388069741
