feature,importance
Malaria_Risk,54.47163704519502
Malaria_cases,18.97362677018145
Population,4.866027151315378
District,2.4280141842476444
Elevation_m_y,1.5826734328017629
Stagnant_Water_lag1,1.3274072181767953
Area_sq_km_y,1.2101166045488878
Avg_Humidity_lag1,1.11454534907556
Avg_Temperature,0.9006559734959293
Avg_Humidity_lag2,0.8494003534460743
Avg_Temperature_roll3,0.8244207014785506
Avg_Temperature_lag2,0.7918882149225378
Avg_rainfall_roll5,0.7871147969939408
Avg_Humidity_roll5,0.5832767615623778
Stagnant_Water_roll3,0.5754614520654294
Avg_Temperature_lag1,0.5735825661321767
Flood_Inundation_lag1,0.5701847835356316
Stagnant_Water,0.5514712661720252
Flood_Inundation,0.5463541301882279
Flood_Inundation_lag2,0.5366604620802887
Mean_NDVI,0.5340453169022404
Avg_rainfall_lag2,0.5308006507471038
Mean_NDVI_roll3,0.47306536964509627
River_Status_y,0.4498039961174223
Flood_Inundation_roll3,0.4178256005917748
Mean_NDVI_lag2,0.4067336397620636
Stagnant_Water_lag2,0.38886334149017016
Avg_Humidity_roll3,0.37004598844822584
Mean_NDVI_roll5,0.3429373896692901
Avg_Humidity,0.3342568309944887
Flood_Inundation_roll5,0.3300864503393061
Avg_Temperature_roll5,0.2690427392794584
Stagnant_Water_roll5,0.22373184047597153
Avg_rainfall_lag1,0.22237741112840198
Avg_rainfall,0.21453686875019107
Sanitation_Index_y,0.18016725469877598
Mean_NDVI_lag1,0.14568166300167215
Avg_rainfall_roll3,0.10147843034269857
