feature,importance
Typhoid_Risk,36.950487569658335
District,8.43840778174366
Population,6.303720272172366
Typhoid_cases,6.260901759011629
Area_sq_km_y,3.367194007502991
Avg_Temperature,2.681685973536858
Avg_Temperature_lag2,2.568842268180228
Avg_Humidity_roll3,2.089898623268352
Avg_Humidity_lag1,1.9892891834174737
Avg_Temperature_roll3,1.8438298415400314
Avg_Humidity_lag2,1.8090091739015777
Avg_Humidity,1.7267013739538497
Elevation_m_y,1.6496591284867177
Stagnant_Water_roll3,1.6162722410244401
Avg_Temperature_lag1,1.4824413365597089
Mean_NDVI_roll5,1.2326648335394403
Mean_NDVI_roll3,1.197574887506403
Flood_Inundation_lag2,1.1739664246592152
Flood_Inundation_roll5,1.106400023429165
Avg_Temperature_roll5,1.102022989199086
Sanitation_Index_y,1.0653885456035943
Avg_rainfall_roll5,0.9916834972028482
Avg_rainfall_roll3,0.9800068533210304
Mean_NDVI_lag2,0.9465028956263503
Avg_Humidity_roll5,0.8379054885357469
Avg_rainfall,0.819364894452942
Stagnant_Water_lag2,0.8120315074494205
Flood_Inundation_lag1,0.7981928563863212
Mean_NDVI_lag1,0.7907497126768221
Mean_NDVI,0.7903987828182686
Stagnant_Water_lag1,0.7804103203403419
Avg_rainfall_lag1,0.7804077649619215
River_Status_y,0.6339231167708128
Stagnant_Water_roll5,0.5976971908003206
Stagnant_Water,0.5680895015023326
Flood_Inundation,0.4340962736761308
Flood_Inundation_roll3,0.40477180425738435
Avg_rainfall_lag2,0.37740930132584777
