year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m,river_status,area_sq_km,sanitation_index,malaria_cases,ad_cases,typhoid_cases,flood_inundation,mean_ndvi,stagnant_water,malaria_risk,ad_risk,typhoid_risk,malaria_risk_next_week,ad_risk_next_week,typhoid_risk_next_week,avg_rainfall_lag1,avg_rainfall_lag2,avg_temperature_lag1,avg_temperature_lag2,avg_humidity_lag1,avg_humidity_lag2,flood_inundation_lag1,flood_inundation_lag2,stagnant_water_lag1,stagnant_water_lag2,mean_ndvi_lag1,mean_ndvi_lag2,avg_rainfall_roll3,avg_rainfall_roll5,avg_temperature_roll3,avg_temperature_roll5,avg_humidity_roll3,avg_humidity_roll5,flood_inundation_roll3,flood_inundation_roll5,stagnant_water_roll3,stagnant_water_roll5,mean_ndvi_roll3,mean_ndvi_roll5
2024,Abbottabad,18,5.6714,16.4167,66.1643,1611498,1256,0,1967,0.75,4,518,12,0,0,0,0.024821626,3.214400514,0.074464877,0.024821626,3.214400514,0.099286502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Abbottabad,19,0.9143,22.7533,48.1825,1611498,1256,0,1967,0.75,4,518,16,0.141077102,0.362533067,0,0.024821626,3.214400514,0.099286502,0.024821626,3.214400514,0.062054064,5.6714,0,16.4167,0,66.1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Abbottabad,20,0.1429,23.9194,41.1947,1611498,1256,0,1967,0.75,4,518,10,0.084404824,0.376507323,0.042577028,0.024821626,3.214400514,0.062054064,0.595719014,7.347201176,0.148929754,0.9143,5.6714,22.7533,16.4167,48.1825,66.1643,0.141077102,0,0,0,0.362533067,0,2.242866667,0,21.0298,0,51.84716667,0,0.075160642,0,0.014192343,0,0.246346797,0
2024,Abbottabad,21,0.0571,27.0337,32.4533,1611498,1256,0,1967,0.75,96,1184,24,0.150319124,0.335821327,0.042382136,0.595719014,7.347201176,0.148929754,1.5513516,7.533363368,0.018616219,0.1429,0.9143,23.9194,22.7533,41.1947,48.1825,0.084404824,0.141077102,0.042577028,0,0.376507323,0.362533067,0.371433333,0,24.5688,0,40.61016667,0,0.125267017,0,0.028319721,0,0.358287239,0
2024,Abbottabad,22,0,27.5021,22.6969,1611498,1256,0,1967,0.75,250,1214,3,0.011850894,0.32153893,0.013512405,1.5513516,7.533363368,0.018616219,0.197312046,8.012278447,0.246640058,0.0571,0.1429,27.0337,23.9194,32.4533,41.1947,0.150319124,0.084404824,0.042382136,0.042577028,0.335821327,0.376507323,0.066666667,1.35714,26.15173333,23.52504,32.11496667,42.13834,0.082191614,0.077530389,0.032823856,0.019694314,0.344622527,0.279280129
2024,Abbottabad,23,2.4714,24.0435,43.3903,1419072,1256,0,1967,0.75,28,1137,35,0,0.292019549,0,0.197312046,8.012278447,0.246640058,0.084562306,6.01097055,0.140937176,0,0.0571,27.5021,27.0337,22.6969,32.4533,0.011850894,0.150319124,0.013512405,0.042382136,0.32153893,0.335821327,0.842833333,0.71714,26.1931,25.0504,32.84683333,37.58354,0.054056673,0.077530389,0.018631514,0.019694314,0.316459935,0.337684039
2024,Abbottabad,24,0.0714,28.0104,30.7585,1419072,1256,0,1967,0.75,12,853,20,0.198706126,0.312624658,0,0.084562306,6.01097055,0.140937176,0.119796599,4.559317639,0.126843458,2.4714,0,24.0435,27.5021,43.3903,22.6969,0,0.011850894,0,0.013512405,0.292019549,0.32153893,0.8476,0.54856,26.51866667,26.10182,32.2819,34.09874,0.070185674,0.089056194,0.004504135,0.019694314,0.308727712,0.327702357
2024,Abbottabad,25,1.3571,27.2054,39.9491,1419072,1256,0,1967,0.75,17,647,18,0.096009879,0.337796373,0.01148308,0.119796599,4.559317639,0.126843458,1.092263113,8.364621386,0.126843458,0.0714,2.4714,28.0104,24.0435,30.7585,43.3903,0.198706126,0,0,0,0.312624658,0.292019549,1.299966667,0.7914,26.41976667,26.75902,38.03263333,33.84962,0.098238668,0.091377205,0.003827693,0.013475524,0.31414686,0.319960167
2024,Abbottabad,26,0.9143,28.0694,50.1756,1419072,1256,0,1967,0.75,155,1187,18,0.151676863,0,0.060281971,1.092263113,8.364621386,0.126843458,0.084562306,6.602906688,0.140937176,1.3571,0.0714,27.2054,28.0104,39.9491,30.7585,0.096009879,0.198706126,0.01148308,0,0.337796373,0.312624658,0.780933333,0.96284,27.76173333,26.96616,40.2944,37.39408,0.148797623,0.091648753,0.023921684,0.017055491,0.21680701,0.252795902
2024,Abbottabad,27,6.6571,25.8801,73.8529,1419072,1256,0,1967,0.75,12,937,20,0.009653465,0.282012734,0.013825316,0.084562306,6.602906688,0.140937176,0.133890317,8.16730934,0.119796599,0.9143,1.3571,28.0694,27.2054,50.1756,39.9491,0.151676863,0.096009879,0.060281971,0.01148308,0,0.337796373,2.976166667,2.29426,27.05163333,26.64176,54.6592,47.62528,0.085780069,0.091209267,0.028530122,0.017118073,0.206603035,0.244890663
