year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,flood_inundation,mean_ndvi,stagnant_water,malaria_cases,ad_cases,typhoid_cases
2026,Badin,6,0,21.3485,42.2058,0.232702155,0.101047589,0.210716068,1536,1781,38
2026,Dadu,6,0,18.5429,63.9464,0.456199979,0.176935675,0.2918198,3244,1952,137
2026,Ghotki,6,0,18.2152,63.0965,0.579985503,0.208127957,0.57576943,1348,659,0
2026,Hyderabad,6,0,20.7798,47.9466,0.253420362,,0.206536787,496,1824,3
2026,Jacobabad,6,0,19.0631,55.7464,0.46999086,0.302245313,0.369438326,747,447,19
2026,Jamshoro,6,0,20.6286,46.9388,,,,1228,1152,39
2026,Kamber,6,0,19.7098,54.526,,,,2211,1237,20
2026,Karachi Central,6,0,22.6723,44.7986,0,0.058196803,,8,1119,47
2026,Karachi East,6,0,22.25,43.9236,0.057913427,0.08701139,,28,273,1
2026,Karachi Keamari,6,0,22.4054,50.0262,,,,5,542,0
2026,Karachi Korangi,6,0,22.689,45.7191,,,,37,238,1
2026,Karachi Malir,6,0,22.25,43.9236,,,,74,996,7
2026,Karachi South,6,0,21.4092,41.0639,0.109818532,0.086411805,,8,62,0
2026,Karachi West,6,0,22.2292,50.123,0.51885277,0.09132774,0.548157315,372,773,22
2026,Kashmore,6,0,17.689,66.1221,,,,1615,184,1
2026,Khairpur,6,0,18.1378,65.2171,0.707841703,0.146307696,0.648622378,3226,2265,113
2026,Larkana,6,0,19.7104,54.9586,0.575259408,0.289613475,0.255948348,2746,1127,7
2026,Matiari,6,0,20.0086,50.944,,,,1456,955,0
2026,Mirpurkhas,6,0,19.4429,53.1023,,,,885,1636,7
2026,Naushero Feroze,6,0,18.5943,61.5665,,,,873,906,25
2026,Sanghar,6,0,20.4601,43.8659,0.320626692,0.142713187,0.297459582,2850,1302,19
2026,Shaheed Benazirabad,6,0,18.0003,65.9965,0.519841214,0.266527612,0.386913022,1577,1063,70
2026,Shikarpur,6,0,19.9241,52.2651,0.485943369,0.319294471,0.318702911,1335,738,5
2026,Sujawal,6,0,21.6542,44.4797,,,,652,1556,14
2026,Sukkur,6,0.0143,18.0485,66.5137,0.514275167,0.189475621,0.494292067,1043,812,3
2026,Tando Allahyar,6,0,20.3402,47.7854,,,,737,672,4
2026,Tando Muhammad Khan,6,0,20.631,46.7766,,,,282,593,0
2026,Tharparkar,6,0,21.8167,34.946,0.960527386,0.10699441,0.953796859,1262,1368,6
2026,Thatta,6,0,21.4461,46.3019,0.520463956,0.130012459,0.604460836,506,1300,10
2026,Umerkot,6,0,21.058,38.0967,0.99659525,0.134610815,0.99548073,1170,1151,7
2026,Awaran,6,,,,0.335369939,0.04615059,0.261128785,NR,NR,NR
2026,Barkhan,6,0.1429,12.8446,56.7799,0.286870477,0.109871487,0.272245387,17,77,10
2026,Chagai,6,0.0857,15.5976,44.0738,0.831154048,0.032102918,0.871396566,15,49,3
2026,Chaman,6,,,,,,,NR,NR,NR
2026,Dera Bugti,6,0,16.0344,58.0522,0.460405043,0.091404498,0.440128498,10,20,4
2026,Duki,6,,,,,,,NR,NR,NR
2026,Gwadar,6,0.0143,21.3079,74.0246,0.691504872,0.039339949,0.602583058,65,261,14
2026,Harnai,6,,,,,,,39,182,0
2026,Hub,6,0,21.1324,44.7622,,,,26,54,0
2026,Jaffarabad,6,,,,0.455333648,0.326013626,0.270872901,74,70,11
2026,Jhal Magsi,6,0,18.3375,56.6899,0.75831021,0.124332108,0.686359749,79,67,0
2026,Kachhi (Bolan),6,0.1857,14.082,50.8874,,,,252,165,0
2026,Kalat,6,0.1,6.5131,52.6578,0.254690432,0.032916093,0.174850869,0,5,0
2026,Kech (Turbat),6,,,,0.405477022,0.042150412,0.360069891,192,201,6
2026,Kharan,6,0.0286,17.1226,37.379,0.720784555,0.032860255,0.678120042,5,108,4
2026,Khuzdar,6,0.0429,13.2672,50.9946,0.206659785,0.068289441,0.116699261,62,97,19
2026,Killa Abdullah,6,0.0429,9.828,55.9916,,,,0,74,5
2026,Killa Saifullah,6,0,8.4168,51.9073,0.684488598,0.058898376,0.603359607,NR,NR,NR
2026,Kohlu,6,0.1429,11.9502,56.3359,0.201887309,0.085649152,0.17339187,8,16,9
2026,Lasbella,6,0,20.8682,49.9618,0.502287243,0.096330696,0.552985034,188,273,4
2026,Loralai,6,0.0286,7.7854,63.9554,0.367954768,0.077156163,0.316659922,9,156,22
2026,Mastung,6,0,6.7795,61.5754,0.361952606,,0.03801984,10,131,0
2026,MusaKhel,6,0.0571,9.2152,57.0666,0.232749528,0.093679934,0.207497595,NR,NR,NR
2026,Naseerabad,6,0,19.6473,53.094,,,,128,253,40
2026,Nushki,6,0,11.9875,58.3981,,,,0,51,0
