Year,District,week_index,avg_rainfall,Avg_Temperature,Avg_Humidity,Population,People_Displaced,Fatalities,Days_Since_Flood_Start,Waterbody_Proximity,Malaria_cases,AD_cases,Typhoid_cases,avg_temp_C,avg_humidity_%,avg_rainfall_mm,Elevation_m,River_Status,Area_sq_km,Sanitation_Index
2026,Badin,1,,,,1947081.0,,,,,1948,1745,151,18.7557,61.3992,0.0714,9.0,1.0,6726.0,0.35
2026,Dadu,1,,,,1742320.0,,,,,3573,1984,324,15.5813,74.4181,0.1714,40.0,2.0,19070.0,0.35
2026,Ghotki,1,,,,1772609.0,,,,,2270,692,72,15.3705,71.4446,0.5286,72.0,1.0,6083.0,0.35
2026,Hyderabad,1,,,,2432540.0,,,,,432,2029,92,17.8643,65.8069,0.8571,20.0,2.0,993.0,0.75
2026,Jacobabad,1,,,,1174097.0,,,,,786,502,66,15.4396,68.2081,0.4,55.0,0.0,2686.0,0.35
2026,Jamshoro,1,,,,1117308.0,,,,,1662,1198,62,17.6485,64.4009,1.1286,33.0,2.0,11204.0,0.35
2026,Kamber,1,,,,1514869.0,,,,,1822,1282,90,15.8833,68.2155,0.0143,50.0,0.0,5599.0,0.2
2026,Karachi Central,1,,,,3822325.0,,,,,13,1522,0,19.7455,58.8449,0.1,,,,
2026,Karachi East,1,,,,3950031.0,,,,,34,211,1,18.9616,62.2786,0.2429,,,,
2026,Karachi Keamari,1,,,,2068451.0,,,,,2,501,0,,,,,,,
2026,Karachi Korangi,1,,,,3128971.0,,,,,100,373,9,19.7997,60.1836,0.1143,,,,
2026,Karachi Malir,1,,,,2403959.0,,,,,28,499,17,18.9616,62.2786,0.2429,,,,
2026,Karachi South,1,,,,2329764.0,,,,,15,71,0,17.808,63.7113,0.5857,,,,
2026,Karachi West,1,,,,2679380.0,,,,,344,760,18,19.4411,61.7655,0.2286,,,,
2026,Kashmore,1,,,,1233957.0,,,,,2002,238,33,15.2586,70.3573,1.3286,60.0,2.0,2592.0,0.35
2026,Khairpur,1,,,,2597535.0,,,,,3798,2510,227,16.0128,66.4719,0.2714,53.0,2.0,15910.0,0.5
2026,Larkana,1,,,,1784453.0,,,,,2944,1156,206,16.2655,65.6913,1.8143,48.0,2.0,1906.0,0.5
2026,Matiari,1,,,,849383.0,,,,,2003,1061,42,17.1488,66.8595,0.4857,25.0,2.0,1417.0,0.2
2026,Mirpurkhas,1,,,,1681386.0,,,,,1530,2246,138,16.6732,72.011,0.6286,16.0,0.0,2925.0,0.5
2026,Naushero Feroze,1,,,,1777082.0,,,,,1096,1211,241,15.8357,70.734,0.0714,38.0,2.0,2945.0,0.2
2026,Sanghar,1,,,,2308465.0,,,,,3300,1413,70,15.8381,76.9993,0.0429,16.0,1.0,10608.0,0.2
2026,Shaheed Benazirabad,1,,,,1845102.0,,,,,1846,1157,73,15.5247,75.0017,0.0857,30.0,2.0,4502.0,0.5
2026,Shikarpur,1,,,,1386330.0,,,,,1994,755,124,16.1756,64.0064,1.4,52.0,1.0,2512.0,0.35
2026,Sujawal,1,,,,839292.0,,,,,563,959,92,18.7387,62.1748,0.1429,,,,
2026,Sukkur,1,,,,1639897.0,,,,,1500,797,101,15.5708,71.8011,0.2143,65.0,2.0,5165.0,0.75
2026,Tando Allahyar,1,,,,922012.0,,,,,1089,693,81,17.2735,67.6707,2.8143,18.0,0.0,2343.0,0.2
2026,Tando Muhammad Khan,1,,,,726119.0,,,,,405,727,89,17.8527,65.1583,0.1857,14.0,2.0,1733.0,0.2
2026,Tharparkar,1,,,,1778407.0,,,,,1696,2038,108,17.8036,63.5787,0.5429,56.0,0.0,19638.0,0.35
2026,Thatta,1,,,,1083191.0,,,,,957,1151,11,18.506,65.234,0.1857,10.0,2.0,17355.0,0.35
2026,Umerkot,1,,,,1159831.0,,,,,1586,1290,69,17.2923,67.0692,0.2429,12.0,0.0,5608.0,0.35
2026,Awaran,1,,,,178958.0,,,,,NR,NR,NR,,,,500.0,0.0,29510.0,0.2
2026,Barkhan,1,,,,210249.0,,,,,17,57,15,10.4018,63.1186,0.8714,1100.0,0.0,3514.0,0.2
2026,Chagai,1,,,,269192.0,,,,,12,69,8,10.789,55.3666,2.4429,919.0,0.0,44748.0,0.2
2026,Chaman,1,,,,466218.0,,,,,1,65,38,,,,1340.0,0.0,1341.0,0.2
2026,Dera Bugti,1,,,,355274.0,,,,,1,14,6,13.3933,68.845,0.7857,250.0,0.0,10160.0,0.2
2026,Duki,1,,,,205044.0,,,,,NR,NR,NR,,,,1100.0,0.0,4233.0,0.2
2026,Gwadar,1,,,,305160.0,,,,,12,14,2,19.9728,53.2582,0.6429,12.0,0.0,12637.0,0.35
2026,Harnai,1,,,,127571.0,,,,,53,145,0,,,,,,,
2026,Hub,1,,,,382885.0,,,,,75,132,0,17.7762,65.8083,0.1286,,,,
2026,Jaffarabad,1,,,,594558.0,,,,,187,150,4,,,,55.0,1.0,1643.0,0.2
2026,Jhal Magsi,1,,,,203368.0,,,,,178,120,8,,,,60.0,0.0,3615.0,0.2
2026,Kachhi (Bolan),1,,,,,,,,,408,268,0,11.7784,50.9149,0.7286,,,,
2026,Kalat,1,,,,271560.0,,,,,0,0,0,5.0438,49.9024,1.0286,2000.0,0.0,7654.0,0.2
2026,Kech (Turbat),1,,,,1060931.0,,,,,26,83,NR,,,,,,,
2026,Kharan,1,,,,260352.0,,,,,9,134,4,11.4699,61.7308,1.9429,700.0,0.0,14958.0,0.2
2026,Khuzdar,1,,,,997214.0,,,,,11,16,7,10.8621,48.9822,0.9571,1237.0,0.0,35380.0,0.2
2026,Killa Abdullah,1,,,,361971.0,,,,,2,113,3,7.7623,59.9486,3.9286,1500.0,0.0,3553.0,0.2
2026,Killa Saifullah,1,,,,380200.0,,,,,NR,NR,NR,6.4879,56.1886,0.5571,1500.0,0.0,6831.0,0.2
2026,Kohlu,1,,,,260220.0,,,,,12,12,5,9.6269,61.4858,1.1571,1000.0,0.0,7610.0,0.2
2026,Lasbella,1,,,,680977.0,,,,,209,305,4,18.2244,65.1918,0.1429,,,,
2026,Loralai,1,,,,272432.0,,,,,8,192,17,6.439,58.7588,1.0714,1400.0,0.0,3785.0,0.2
2026,Mastung,1,,,,313271.0,,,,,26,130,3,4.8086,61.3539,2.1286,1700.0,0.0,3308.0,0.2
2026,MusaKhel,1,,,,196756.0,,,,,48,70,6,7.3259,56.308,0.8714,,,,
2026,Naseerabad,1,,,,563315.0,,,,,191,269,34,15.8107,67.0846,0.2143,,,,
2026,Nushki,1,,,,207834.0,,,,,NR,NR,NR,9.9735,60.1662,1.7,900.0,0.0,5797.0,0.2
2026,Panjgur,1,,,,509781.0,,,,,NR,NR,NR,11.3006,52.0391,0.2857,900.0,0.0,16891.0,0.2
2026,Pishin,1,,,,835482.0,,,,,8,193,20,5.5065,65.0532,3.0857,1550.0,0.0,6218.0,0.2
2026,Quetta,1,,,,2595492.0,,,,,7,199,15,5.8013,60.3593,2.2286,1680.0,0.0,3447.0,0.75
2026,Sherani,1,,,,191687.0,,,,,NR,NR,NR,,,,1500.0,0.0,2700.0,0.2
2026,Sibi,1,,,,224148.0,,,,,240,340,24,13.8866,65.3204,0.3571,130.0,0.0,7121.0,0.2
2026,Sohbat pur,1,,,,240106.0,,,,,45,198,8,15.6292,67.3762,0.3714,,,,
2026,Surab,1,,,,279038.0,,,,,0,16,0,5.7583,50.859,1.0286,,,,
2026,Usta Muhammad,1,,,,,,,,,100,464,1,15.0932,72.7198,0.7429,,,,
2026,Washuk,1,,,,302623.0,,,,,NR,NR,NR,8.7601,53.26,0.1,700.0,0.0,33093.0,0.2
2026,Zhob,1,,,,355692.0,,,,,0,20,5,6.4786,57.3394,0.8429,1400.0,0.0,20297.0,0.2
2026,Ziarat,1,,,,189535.0,,,,,29,37,5,,,,2400.0,0.0,3301.0,0.2
2026,Abbottabad,1,,,,1419072.0,,,,,0,557,19,8.7238,68.2289,2.7143,1256.0,0.0,1967.0,0.75
2026,Bajaur,1,,,,,,,,,76,410,1,7.3565,60.0284,3.4429,900.0,0.0,1290.0,0.2
2026,Bannu,1,,,,1357890.0,,,,,795,506,83,11.2985,69.4306,0.5429,312.0,1.0,1227.0,0.2
2026,Battagram,1,,,,335984.0,,,,,27,201,3,6.0708,70.0299,5.3429,1036.0,0.0,1301.0,0.2
2026,Buner,1,,,,,,,,,149,128,5,10.1539,71.0074,1.7286,700.0,0.0,1865.0,0.35
