Year,District,People_Displaced,Fatalities,Cholera_Cases,Malaria_Cases,Dengue_Cases
2022,East Karachi,,,,,
2022,West Karachi,,,,,
2022,South Karachi,,,,,
2022,Central Karachi,,,,,
2022,Malir Karachi,,,,,
2022,Korangi Karachi,,,,,
2022,Hyderabad,,,,,
2022,Jamshoro,,,,,
2022,Dadu,,,,,
2022,Matiari,,,,,
2022,Tando Allahyar,,,,,
2022,Tando Muhammad Khan,,,,,
2022,Thatta,,,,,
2022,Sujawal,,,,,
2022,Badin,,,,,
2022,Sukkur,,,,,
2022,Khairpur,,,,,
2022,Ghotki,,,,,
2022,Shaheed Benazirabad,,,,,
2022,Naushehro Feroze,,,,,
2022,Sanghar,,,,,
2022,Larkana,,,,,
2022,Kambar Shahdadkot,,,,,
2022,Shikarpur,,,,,
2022,Jacobabad,,,,,
2022,Kashmore,,,,,
2022,Mirpur Khas,,,,,
2022,Umer Kot,,,,,
2022,Tharparkar,,,,,
2022,Dera Ghazi Khan,,,,,
2022,Rajanpur,,,,,
2022,Muzaffargarh,,,,,
2022,Layyah,,,,,
2022,Bahawalpur,,,,,
2022,Bahawalnagar,,,,,
2022,Rahim Yar Khan,,,,,
2022,Mianwali,,,,,
2022,Khushab,,,,,
2022,Sargodha,,,,,
2022,Chiniot,,,,,
2022,Jhang,,,,,
2022,Khanewal,,,,,
2022,Multan,,,,,
2022,Vehari,,,,,
2022,Lodhran,,,,,
2022,Okara,,,,,
2022,Sheikhupura,,,,,
2022,Hafizabad,,,,,
2022,Gujranwala,,,,,
2022,Swat,,,,,
2022,Nowshera,,,,,
2022,Charsadda,,,,,
2022,Upper Dir,,,,,
2022,Lower Dir,,,,,
2022,Peshawar,,,,,
2022,Shangla,,,,,
2022,Kohistan,,,,,
2022,Dera Ismail Khan,,,,,
2022,Bannu,,,,,
2022,Lakki Marwat,,,,,
2022,Chitral,,,,,
2022,Kurram,,,,,
2022,Tank,,,,,
2022,Hangu,,,,,
2022,Lasbela,,,,,
2022,Jhal Magsi,,,,,
2022,Sohbatpur,,,,,
2022,Washuk,,,,,
2022,Dera Allah Yar,,,,,
2022,Kharan,,,,,
2022,Kalat,,,,,
2022,Naseerabad,,,,,
2022,Barkhan,,,,,
2022,Sibi,,,,,
2022,Loralai,,,,,
2022,Kachi,,,,,
2022,Musakhel,,,,,
