Year,District,Month_Index,Flood_Duration_Days,Flood_Marker
2022,East Karachi,6,30,1
2022,East Karachi,7,30,1
2022,East Karachi,8,30,1
2022,East Karachi,9,30,1
2022,East Karachi,10,30,1
2022,West Karachi,6,30,1
2022,West Karachi,7,30,1
2022,West Karachi,8,30,1
2022,West Karachi,9,30,1
2022,West Karachi,10,30,1
2022,South Karachi,6,30,1
2022,South Karachi,7,30,1
2022,South Karachi,8,30,1
2022,South Karachi,9,30,1
2022,South Karachi,10,30,1
2022,Central Karachi,6,30,1
2022,Central Karachi,7,30,1
2022,Central Karachi,8,30,1
2022,Central Karachi,9,30,1
2022,Central Karachi,10,30,1
2022,Malir Karachi,6,30,1
2022,Malir Karachi,7,30,1
2022,Malir Karachi,8,30,1
2022,Malir Karachi,9,30,1
2022,Malir Karachi,10,30,1
2022,Korangi Karachi,6,30,1
2022,Korangi Karachi,7,30,1
2022,Korangi Karachi,8,30,1
2022,Korangi Karachi,9,30,1
2022,Korangi Karachi,10,30,1
2022,Hyderabad,6,30,1
2022,Hyderabad,7,30,1
2022,Hyderabad,8,30,1
2022,Hyderabad,9,30,1
2022,Hyderabad,10,30,1
2022,Jamshoro,6,30,1
2022,Jamshoro,7,30,1
2022,Jamshoro,8,30,1
2022,Jamshoro,9,30,1
2022,Jamshoro,10,30,1
2022,Dadu,6,30,1
2022,Dadu,7,30,1
2022,Dadu,8,30,1
2022,Dadu,9,30,1
2022,Dadu,10,30,1
2022,Matiari,6,30,1
2022,Matiari,7,30,1
2022,Matiari,8,30,1
2022,Matiari,9,30,1
2022,Matiari,10,30,1
2022,Tando Allahyar,6,30,1
2022,Tando Allahyar,7,30,1
2022,Tando Allahyar,8,30,1
2022,Tando Allahyar,9,30,1
2022,Tando Allahyar,10,30,1
2022,Tando Muhammad Khan,6,30,1
2022,Tando Muhammad Khan,7,30,1
2022,Tando Muhammad Khan,8,30,1
2022,Tando Muhammad Khan,9,30,1
2022,Tando Muhammad Khan,10,30,1
2022,Thatta,6,30,1
2022,Thatta,7,30,1
2022,Thatta,8,30,1
2022,Thatta,9,30,1
2022,Thatta,10,30,1
2022,Sujawal,6,30,1
2022,Sujawal,7,30,1
2022,Sujawal,8,30,1
2022,Sujawal,9,30,1
2022,Sujawal,10,30,1
2022,Badin,6,30,1
2022,Badin,7,30,1
2022,Badin,8,30,1
2022,Badin,9,30,1
2022,Badin,10,30,1
2022,Sukkur,6,30,1
2022,Sukkur,7,30,1
