Year,District,Flood_Severity_Index
2022,East Karachi,0.1
2022,West Karachi,0.1
2022,South Karachi,0.1
2022,Central Karachi,0.1
2022,Malir Karachi,0.1
2022,Korangi Karachi,0.1
2022,Hyderabad,0.1
2022,Jamshoro,0.1
2022,Dadu,0.16
2022,Matiari,0.1
2022,Tando Allahyar,0.1
2022,Tando Muhammad Khan,0.1
2022,Thatta,0.16
2022,Sujawal,0.11
2022,Badin,0.11
2022,Sukkur,0.2
2022,Khairpur,0.2
2022,Ghotki,0.15
2022,Shaheed Benazirabad,0.13
2022,Naushehro Feroze,0.15
2022,Sanghar,0.11
2022,Larkana,0.16
2022,Kambar Shahdadkot,0.16
2022,Shikarpur,0.24
2022,Jacobabad,0.24
2022,Kashmore,0.17
2022,Mirpur Khas,0.1
2022,Umer Kot,0.08
2022,Tharparkar,0.1
2022,Dera Ghazi Khan,0.07
2022,Rajanpur,0.08
2022,Muzaffargarh,0.06
2022,Layyah,0.06
2022,Bahawalpur,0.05
2022,Bahawalnagar,0.06
2022,Rahim Yar Khan,0.12
2022,Mianwali,0.08
2022,Khushab,0.09
2022,Sargodha,0.08
2022,Chiniot,0.07
2022,Jhang,0.07
2022,Khanewal,0.06
2022,Multan,0.06
2022,Vehari,0.06
2022,Lodhran,0.05
2022,Okara,0.07
2022,Sheikhupura,0.08
2022,Hafizabad,0.09
2022,Gujranwala,0.11
2022,Swat,0.09
2022,Nowshera,0.1
2022,Charsadda,0.1
2022,Upper Dir,0.05
2022,Lower Dir,0.08
2022,Peshawar,0.1
2022,Shangla,0.08
2022,Kohistan,0.14
2022,Dera Ismail Khan,0.07
2022,Bannu,0.06
2022,Lakki Marwat,0.07
2022,Chitral,0.03
2022,Kurram,0.06
2022,Tank,0.07
2022,Hangu,0.07
2022,Lasbela,0.1
2022,Jhal Magsi,0.19
2022,Sohbatpur,0.25
2022,Washuk,0.04
2022,Dera Allah Yar,0.24
2022,Kharan,0.05
2022,Kalat,0.08
2022,Naseerabad,0.1
2022,Barkhan,0.09
2022,Sibi,0.13
2022,Loralai,0.07
2022,Kachi,0.01
2022,Musakhel,0.06
