Year,District,Latitude,Longitude
2022,East Karachi,24.8381531,67.067704
2022,West Karachi,24.849762,66.9832041
2022,South Karachi,24.8726942,67.0159333
2022,Central Karachi,24.9240802,67.1138217
2022,Malir Karachi,24.889349,67.1808068
2022,Korangi Karachi,24.8024234,67.1161632
2022,Hyderabad,25.4075358,68.3613456
2022,Jamshoro,25.4688232,68.2650814
2022,Dadu,26.7274836,67.7804974
2022,Matiari,25.5971858,68.4454874
2022,Tando Allahyar,25.4619907,68.7198264
2022,Tando Muhammad Khan,25.1229909,68.5342517
2022,Thatta,33.4326873,73.0343187
2022,Sujawal,24.603377,68.0789001
2022,Badin,24.6551671,68.8401509
2022,Sukkur,27.7004292,68.8664623
2022,Khairpur,27.5204873,68.7383149
2022,Ghotki,27.9940699,69.3134173
2022,Shaheed Benazirabad,26.6425644,67.9931727
2022,Naushehro Feroze,26.8348754,68.1278627
2022,Sanghar,26.0470447,68.9492402
2022,Larkana,27.5564798,68.2101509
2022,Kambar Shahdadkot,27.6002043,68.0277649
2022,Shikarpur,27.9579085,68.6467484
2022,Jacobabad,28.2813094,68.4364361
2022,Kashmore,28.4322915,69.5814755
2022,Mirpur Khas,25.5263882,69.0112387
2022,Umer Kot,31.508082,73.6864539
2022,Tharparkar,24.9418159,70.2397391
2022,Dera Ghazi Khan,30.0321374,70.6401114
2022,Rajanpur,29.1002542,70.3378699
2022,Muzaffargarh,30.0743097,71.1906224
2022,Layyah,30.9681007,70.9433836
2022,Bahawalpur,29.40295,71.6523454
2022,Bahawalnagar,29.9935922,73.2527621
2022,Rahim Yar Khan,28.4225413,70.3034237
2022,Mianwali,32.5793897,71.5353168
2022,Khushab,32.2903666,72.3515792
2022,Sargodha,32.0836514,72.676461
2022,Chiniot,31.7309524,72.9834213
2022,Jhang,31.2728805,72.3103071
2022,Khanewal,30.3022528,71.9278916
2022,Multan,30.197838,71.4719683
2022,Vehari,30.0480418,72.3563519
2022,Lodhran,29.5390395,71.6344196
2022,Okara,30.8091281,73.4493301
2022,Sheikhupura,31.7085285,73.9864014
2022,Hafizabad,32.0747607,73.6917596
2022,Gujranwala,32.1525312,74.1933745
2022,Swat,34.3192278,71.5902939
2022,Nowshera,34.0155606,71.981283
2022,Charsadda,34.1461506,71.7337464
2022,Upper Dir,35.4050022,72.1144401
2022,Lower Dir,34.8450852,71.8795222
2022,Peshawar,34.0123846,71.5787458
2022,Shangla,34.956944,72.848056
2022,Kohistan,32.5118808,74.5181208
2022,Dera Ismail Khan,31.827527,70.9090919
2022,Bannu,32.9857007,70.6036017
2022,Lakki Marwat,32.6056744,70.9113526
2022,Chitral,35.850889,71.7901897
2022,Kurram,33.6888492,70.3855522
2022,Tank,32.2096916,70.3881146
2022,Hangu,33.527996,71.0575407
2022,Lasbela,25.7046292,66.6081782
2022,Jhal Magsi,28.2818084,67.4522969
2022,Sohbatpur,28.5181349,68.5435959
2022,Washuk,27.7220346,64.8092316
2022,Dera Allah Yar,28.3717207,68.3561509
2022,Kharan,28.5807325,65.4207071
2022,Kalat,29.029138,66.5887761
2022,Naseerabad,24.9326064,67.0741284
2022,Barkhan,29.9003125,69.5230398
2022,Sibi,29.5500097,67.8833398
2022,Loralai,30.366865,68.6000654
2022,Kachi,37.0681918,74.9781482
2022,Musakhel,30.8913024,69.9459207
