Year,District,Waterbody_Proximity
2022,East Karachi,5000
2022,West Karachi,5000
2022,South Karachi,5000
2022,Central Karachi,5000
2022,Malir Karachi,5000
2022,Korangi Karachi,5000
2022,Hyderabad,5000
2022,Jamshoro,5000
2022,Dadu,5000
2022,Matiari,5000
2022,Tando Allahyar,5000
2022,Tando Muhammad Khan,5000
2022,Thatta,5000
2022,Sujawal,5000
2022,Badin,5000
2022,Sukkur,5000
2022,Khairpur,5000
2022,Ghotki,5000
2022,Shaheed Benazirabad,5000
2022,Naushehro Feroze,5000
2022,Sanghar,5000
2022,Larkana,5000
2022,Kambar Shahdadkot,5000
2022,Shikarpur,5000
2022,Jacobabad,5000
2022,Kashmore,5000
2022,Mirpur Khas,5000
2022,Umer Kot,5000
2022,Tharparkar,5000
2022,Dera Ghazi Khan,5000
2022,Rajanpur,5000
2022,Muzaffargarh,5000
2022,Layyah,5000
2022,Bahawalpur,5000
2022,Bahawalnagar,5000
2022,Rahim Yar Khan,5000
2022,Mianwali,5000
2022,Khushab,5000
2022,Sargodha,5000
2022,Chiniot,5000
2022,Jhang,5000
2022,Khanewal,5000
2022,Multan,5000
2022,Vehari,5000
2022,Lodhran,5000
2022,Okara,5000
2022,Sheikhupura,5000
2022,Hafizabad,5000
2022,Gujranwala,5000
2022,Swat,5000
2022,Nowshera,5000
2022,Charsadda,5000
2022,Upper Dir,5000
2022,Lower Dir,5000
2022,Peshawar,5000
2022,Shangla,5000
2022,Kohistan,5000
2022,Dera Ismail Khan,5000
2022,Bannu,5000
2022,Lakki Marwat,5000
2022,Chitral,5000
2022,Kurram,5000
2022,Tank,5000
2022,Hangu,5000
2022,Lasbela,5000
2022,Jhal Magsi,5000
2022,Sohbatpur,5000
2022,Washuk,5000
2022,Dera Allah Yar,5000
2022,Kharan,5000
2022,Kalat,5000
2022,Naseerabad,5000
2022,Barkhan,5000
2022,Sibi,5000
2022,Loralai,5000
2022,Kachi,5000
2022,Musakhel,5000
